VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BHORLE,1156,9,6,1,0,12
BRIDHIM,145,9,0,7,0,0
CHILIME,315,1,5,18,0,1
DANDAGOUN,446,22,3,3,2,3
DHUNCHE,407,213,66,15,2,11
GATLANG,386,1,0,8,2,3
GOLJUNG,245,2,2,19,0,1
HAKU,436,2,0,3,0,2
DHAIBUNG,910,86,83,16,1,13
LAHAREPOUWA,1013,24,10,0,0,6
LANGTANG,148,3,0,0,1,0
RAMCHE,472,9,3,1,0,4
SARAMTHALI,816,1,0,0,0,4
SYAFRU,365,164,2,90,0,0
THULOGOUN,312,0,0,1,4,0
THUMAN,222,1,0,15,1,0
TIMURE,125,1,0,4,0,0
YARSA,817,1,0,2,0,0
TOTAL,8736,549,180,203,13,60
