VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BHORLE,23,986,142,6,0,0,13,14
BRIDHIM,2,99,1,0,47,0,12,0
CHILIME,1,207,2,6,123,0,0,1
DANDAGOUN,8,410,1,3,51,0,3,3
DHUNCHE,16,568,8,110,0,0,1,11
GATLANG,2,59,2,0,333,0,1,3
GOLJUNG,1,126,1,1,138,0,1,1
HAKU,16,355,0,0,69,0,1,2
DHAIBUNG,4,909,45,132,3,0,2,14
LAHAREPOUWA,5,977,32,31,1,0,0,7
LANGTANG,0,92,0,0,60,0,0,0
RAMCHE,16,454,0,14,0,0,1,4
SARAMTHALI,6,272,539,0,0,0,0,4
SYAFRU,9,488,15,85,18,1,5,0
THULOGOUN,5,278,1,0,30,0,3,0
THUMAN,6,44,3,1,162,0,23,0
TIMURE,2,66,0,1,60,0,1,0
YARSA,22,651,142,0,4,0,1,0
TOTAL,144,7041,934,390,1099,1,68,64
