VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BADKI,764,5,0,8
BIRAT,613,25,4,2
BUMRAMADICHAUR,212,1,1,0
CHANDAN NATH,1445,324,50,20
CHHUMCHAUR,412,1,0,0
DEPALGAUN,487,5,1,5
DHAPA,669,2,0,4
DILLICHAUR,859,15,0,3
GARJYANGKOT,771,2,0,2
GHODE MAHADEV,359,4,4,4
GUTHICHAUR,563,5,1,6
HANKU,462,4,0,1
KALIKAKHETU,428,6,0,2
KANAKASUNDARI,475,4,0,7
KARTIK SWAMI,444,6,2,2
KUDARI,834,16,1,11
LAMRA,548,5,0,2
RARALIHI,440,40,0,6
MAHABAIPATHARKHOLA,493,5,0,2
MAHAT,645,150,9,3
MALIKABOTA,253,8,0,5
MALIKATHANTA,513,0,5,13
NARAKOT,570,11,2,4
PANDAWAGUFA,635,0,0,2
PATARASI,615,7,0,3
PATMARA,617,3,0,2
SANIGAUN,716,5,0,13
TALIUM,893,1,0,2
TAMTI,736,2,0,12
TATOPANI,923,2,0,7
TOTAL,18394,664,80,153
