VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BADKI,772,0,1,0,0,0,0,4
BIRAT,635,0,1,0,1,0,0,7
BUMRAMADICHAUR,214,0,0,0,0,0,0,0
CHANDAN NATH,1722,4,92,0,1,0,5,15
CHHUMCHAUR,407,0,1,0,1,1,0,3
DEPALGAUN,497,0,0,0,1,0,0,0
DHAPA,673,0,0,0,0,0,0,2
DILLICHAUR,871,0,0,0,0,0,0,6
GARJYANGKOT,772,0,0,0,0,0,1,2
GHODE MAHADEV,370,0,0,0,0,0,0,1
GUTHICHAUR,568,0,0,0,0,0,0,7
HANKU,467,0,0,0,0,0,0,0
KALIKAKHETU,428,0,0,0,0,0,2,6
KANAKASUNDARI,486,0,0,0,0,0,0,0
KARTIK SWAMI,445,0,1,0,0,0,1,7
KUDARI,855,0,0,0,3,0,0,4
LAMRA,550,0,1,0,0,0,0,4
RARALIHI,483,0,1,0,0,0,0,2
MAHABAIPATHARKHOLA,497,0,0,0,0,0,0,3
MAHAT,776,0,15,0,0,0,8,8
MALIKABOTA,266,0,0,0,0,0,0,0
MALIKATHANTA,529,0,0,0,0,0,0,2
NARAKOT,583,0,0,0,1,0,0,3
PANDAWAGUFA,630,0,0,0,0,1,0,6
PATARASI,615,0,0,1,0,0,1,8
PATMARA,617,0,0,0,0,0,0,5
SANIGAUN,729,0,0,0,0,0,0,5
TALIUM,886,0,0,0,0,0,0,10
TAMTI,744,0,0,0,1,0,0,5
TATOPANI,931,0,0,0,0,0,0,1
TOTAL,19018,4,113,1,9,2,18,126
