VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BADKI,770,0,2,0,0,1,4
BIRAT,614,1,19,0,1,1,8
BUMRAMADICHAUR,212,0,0,0,0,2,0
CHANDAN NATH,1770,28,6,0,1,18,16
CHHUMCHAUR,410,0,1,0,0,0,2
DEPALGAUN,490,0,0,0,0,5,3
DHAPA,670,0,0,0,0,1,4
DILLICHAUR,868,0,0,0,0,2,7
GARJYANGKOT,758,3,0,1,0,5,8
GHODE MAHADEV,369,1,0,0,0,0,1
GUTHICHAUR,564,3,0,0,0,2,6
HANKU,465,2,0,0,0,0,0
KALIKAKHETU,426,1,2,0,1,0,6
KANAKASUNDARI,484,0,0,0,0,1,1
KARTIK SWAMI,442,7,0,0,0,0,5
KUDARI,848,1,3,0,0,6,4
LAMRA,547,0,3,1,0,0,4
RARALIHI,475,0,5,1,0,2,3
MAHABAIPATHARKHOLA,491,1,3,0,0,0,5
MAHAT,781,18,0,0,0,1,7
MALIKABOTA,265,0,0,0,0,0,1
MALIKATHANTA,526,0,0,1,0,0,4
NARAKOT,583,0,1,0,0,0,3
PANDAWAGUFA,631,0,0,0,0,0,6
PATARASI,615,1,0,0,0,1,8
PATMARA,607,6,1,0,0,1,7
SANIGAUN,726,0,0,0,0,1,7
TALIUM,886,1,0,0,0,0,9
TAMTI,742,0,2,0,0,1,5
TATOPANI,923,1,0,0,1,3,4
TOTAL,18958,75,48,4,4,54,148
