VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AJAYAMERU,215,562,390,126,7,4,1,1,487,0,2,1,0,0,9
ALITAL,562,1670,1316,147,49,8,1,22,1085,5,8,0,0,6,147
AMARGADHI MUNICIPALITY,1036,3656,1903,1327,856,300,152,351,3218,38,189,40,5,22,86
ASHIGRAM,146,498,382,164,33,6,2,17,381,6,18,13,0,9,6
BAGARKOT,201,649,545,59,21,0,0,4,395,0,3,2,3,0,9
BELAPUR,589,837,761,10,0,0,0,3,439,0,1,0,0,0,25
BHADRAPUR,97,339,284,59,7,1,0,0,258,0,0,0,0,0,6
BHAGESWOR,169,491,431,3,0,0,0,25,269,0,0,1,0,1,22
CHIPUR,149,401,324,73,6,0,0,0,289,1,0,0,2,0,5
DEWAL DIBYAPUR,323,688,583,42,14,3,0,5,362,0,0,2,0,0,12
GANESHPUR,149,524,382,55,4,1,3,0,442,0,0,1,0,0,42
GANKHET,162,732,685,90,0,0,2,1,483,0,0,2,0,0,7
JOGBUDA,898,2632,2020,75,155,16,1,142,1551,3,25,56,0,10,189
KAILAPALAMANDAU,424,466,357,45,1,0,0,11,275,0,0,5,2,0,6
KOTELI,405,604,436,163,2,6,5,6,483,1,5,14,0,0,7
MANILEK,448,494,309,46,0,2,1,3,414,0,0,0,4,0,28
MASHTAMANDAU,300,479,342,140,3,1,0,10,321,0,0,3,1,4,30
NAWADURGA,319,366,218,127,1,0,0,2,247,0,0,0,0,1,10
RUPAL,201,678,646,16,1,3,0,9,348,0,0,1,0,0,42
SAMEJEE,101,396,310,91,14,3,0,9,330,0,1,1,0,0,8
SIRSHA,595,1593,1357,141,55,13,4,66,929,0,15,53,3,4,83
