VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AJAYAMERU,763,7,0,4,0,12
ALITAL,1793,68,6,497,2,13
AMARGADHI MUNICIPALITY,3549,581,430,181,4,33
ASHIGRAM,576,7,21,44,0,2
BAGARKOT,809,2,1,34,2,11
BELAPUR,1425,4,0,9,0,13
BHADRAPUR,431,1,1,2,0,7
BHAGESWOR,666,1,0,6,0,9
CHIPUR,551,0,0,0,0,4
DEWAL DIBYAPUR,993,17,1,2,0,10
GANESHPUR,709,4,2,0,0,0
GANKHET,766,43,0,86,4,2
JOGBUDA,2795,172,14,712,2,24
KAILAPALAMANDAU,888,2,0,5,0,1
KOTELI,983,25,0,7,0,1
MANILEK,966,2,0,1,0,1
MASHTAMANDAU,778,22,1,7,0,1
NAWADURGA,677,9,0,1,0,8
RUPAL,890,7,0,21,0,3
SAMEJEE,489,8,0,1,0,7
SIRSHA,1343,97,5,805,3,18
TOTAL,22840,1079,482,2425,17,180
