VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AJAYAMERU,770,3,0,0,0,1,0,12
ALITAL,2365,1,2,1,2,0,1,7
AMARGADHI MUNICIPALITY,3990,24,691,2,6,6,40,19
ASHIGRAM,641,0,4,2,1,0,0,2
BAGARKOT,832,4,3,3,3,0,3,11
BELAPUR,1435,0,1,1,3,0,0,11
BHADRAPUR,438,0,0,0,0,0,0,4
BHAGESWOR,665,2,0,3,2,0,0,10
CHIPUR,551,0,1,0,0,0,1,2
DEWAL DIBYAPUR,1011,3,2,0,0,1,0,6
GANESHPUR,714,0,0,0,1,0,0,0
GANKHET,885,5,0,3,7,0,0,1
JOGBUDA,3677,4,3,9,6,2,2,16
KAILAPALAMANDAU,895,0,0,0,0,0,0,1
KOTELI,1014,0,0,1,0,0,0,1
MANILEK,966,1,0,0,2,0,0,1
MASHTAMANDAU,801,0,4,0,2,1,0,1
NAWADURGA,686,0,2,0,3,0,1,3
RUPAL,917,0,0,0,0,0,0,4
SAMEJEE,501,0,0,0,0,0,0,4
SIRSHA,2247,2,2,3,1,0,0,16
TOTAL,26001,49,715,28,39,11,48,132
