VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
SALYANTAR,7235,3194,4041,4799,2412,2387,100,46,54,2331,734,1597,5,2,3,66.3303386316517,75.51659361302441,59.06953724325662
SANGKOSH,5103,2306,2797,3450,1804,1646,170,71,99,1482,431,1051,1,0,1,67.60728982951206,78.2307025151778,58.84876653557383
SATYADEVI,2988,1302,1686,1839,947,892,58,23,35,1077,328,749,14,4,10,61.54618473895582,72.7342549923195,52.90628706998813
SEMJONG,3057,1340,1717,1777,877,900,50,20,30,1229,443,786,1,0,1,58.12888452731436,65.44776119402985,52.417006406523
SERTUNG,3198,1424,1774,1361,721,640,110,62,48,1727,641,1086,0,0,0,42.55784865540963,50.63202247191011,36.076662908680944
SUNAULA BAZAR,6050,2666,3384,3705,1853,1852,108,52,56,2237,761,1476,0,0,0,61.239669421487605,69.50487621905476,54.72813238770685
TASARPU,4712,2256,2456,2920,1583,1337,133,68,65,1656,604,1052,3,1,2,61.96943972835314,70.16843971631207,54.43811074918566
THAKRE,9033,4369,4664,6262,3426,2836,210,96,114,2554,844,1710,7,3,4,69.32359127643086,78.41611352712292,60.80617495711835
TIPLING,1807,887,920,836,477,359,83,50,33,888,360,528,0,0,0,46.26452684006641,53.77677564825254,39.02173913043478
TRIPURESWOR,3124,1368,1756,2172,1078,1094,42,19,23,910,271,639,0,0,0,69.52624839948783,78.80116959064327,62.300683371298405
INSTITUTIONAL,1773,1732,41,1728,1697,31,1,1,0,44,34,10,0,0,0,97.46192893401016,97.97921478060047,75.60975609756098
