VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AGINCHOK,738,0,9,40,76,7,1,2
BAIRENI,2383,48,17,180,131,23,0,13
BASERI,795,0,0,2,58,0,0,4
BENIGHAT,1682,0,1,357,67,10,2,4
BHUMESTHAN,1786,1,50,96,179,29,1,3
BUDHATHUM,803,0,0,5,57,0,0,1
CHAINPUR,914,0,80,58,419,40,2,1
CHHATREDEURALI,1601,0,19,26,4,1,1,3
DARKHA,1107,0,0,1,4,0,0,9
DHOLA,504,0,22,52,382,33,0,5
DHUSSA,1197,0,4,125,4,24,0,7
DHUWAKOT,1020,0,0,8,30,4,0,1
GAJURI,1996,1,35,82,66,34,2,7
GOGANPANI,892,0,42,80,27,0,87,5
GUMDI,1079,0,1,1,24,1,1,2
JEEWANPUR,1360,0,39,214,297,6,0,4
JHARLANG,661,0,1,2,104,0,0,2
JOGIMARA,1333,0,10,54,18,19,2,6
JYAMRUNG,1399,0,1,38,199,12,0,4
KALLERI,1617,1,7,102,183,1,0,10
KATUNJE,1351,0,1,22,47,0,0,4
KEWALPUR,825,0,48,130,94,5,2,0
KHALTE,1397,0,2,78,80,9,0,0
KHARI,617,0,40,7,375,9,1,2
KIRANCHOK,968,0,4,117,49,5,3,17
KUMPUR,1865,0,34,70,95,41,2,15
LAPA,766,0,1,12,64,1,0,9
MAHADEVSTHAN,958,0,2,243,16,16,6,2
MAIDI,1356,0,175,88,461,17,64,6
MARPAK,839,0,0,5,1,0,0,4
MULPANI,524,0,4,17,198,3,1,2
MURALI BHANJYANG,1276,2,54,45,279,9,0,8
NALANG,1259,0,30,75,490,10,0,12
NAUBISE,2897,1,8,48,52,136,35,7
NILKANTHA,5106,0,37,22,67,3,1,19
PHULKHARKA,832,0,4,2,82,0,0,0
PIDA,1960,0,64,150,15,18,1,6
REE GAUN,1109,0,0,0,0,0,0,1
SALANG,1069,0,0,38,25,4,0,4
SALYANKOT,696,0,59,123,222,15,0,8
SALYANTAR,1487,1,3,4,250,39,0,7
SANGKOSH,1055,2,11,49,111,13,0,3
SATYADEVI,736,0,0,0,2,8,0,14
SEMJONG,844,0,0,0,0,0,2,1
SERTUNG,484,0,1,1,325,0,5,1
SUNAULA BAZAR,1061,0,70,110,287,2,0,0
TASARPU,1020,0,3,10,61,3,1,0
THAKRE,1996,0,1,40,96,0,0,8
TIPLING,396,0,0,5,54,6,0,3
TRIPURESWOR,802,0,0,1,9,7,0,0
TOTAL,62418,57,994,3035,6236,623,223,256
