VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AMCHOK,708,253,6,21,1,2
BAJHO,54,1100,7,479,310,27
BARBOTE,1310,90,6,2,5,1
CHAMAITA,925,261,6,18,12,8
CHISAPANI,859,322,13,4,0,6
CHULACHULI,1518,1224,15,1018,117,13
DANABARI,1911,900,16,154,138,18
DHUSENI,734,163,2,0,2,7
EBHANG,404,338,9,112,186,12
EKTAPPA,179,554,0,192,106,5
ERAUTAR,384,460,10,96,1,5
GAJURMUKHI,429,180,19,57,3,3
GODAK,933,186,14,2,0,2
GORKHE,988,125,5,1,1,2
ILAM MUNICIPALITY,4425,192,20,5,15,75
JAMUNA,630,131,8,3,4,1
JIRMALE,124,689,4,243,0,9
JITPUR,947,421,9,34,21,8
JOGMAI,259,319,6,20,118,4
KANYAM,1545,152,11,3,1,3
KOLBUNG,771,257,8,89,3,6
LAXMIPUR,1209,685,31,100,6,4
LUMDE,161,212,4,77,88,2
MABU,420,297,7,9,1,0
MAHAMAI,10,813,14,619,740,6
MAIMAJHUWA,560,99,11,14,72,2
MAIPOKHARI,787,133,6,2,2,1
MANGALBARE,1384,109,6,1,1,5
NAMSALING,1042,239,6,1,1,10
NAYA BAZAR,819,250,4,15,0,2
PANCHAKANYA,1518,363,12,5,1,12
PASUPATI NAGAR,1812,132,18,5,2,11
PHAKPHOK,879,140,6,2,0,6
PHIKAL BAZAR,2532,120,16,2,3,18
PHUYATAPPA,21,441,0,244,128,6
PUWAMAJHUWA,522,51,7,1,47,6
PYANG,243,292,6,63,0,0
SAKFARA,512,167,1,59,0,5
SAKHEJUNG,834,91,3,1,0,3
SAMALBUNG,596,455,8,34,2,4
SANGRUMBA,962,214,19,6,3,6
SHANTI DANDA,1013,77,10,0,1,0
SHANTIPUR,309,350,16,510,2,5
SHREE ANTU,953,110,8,9,5,1
SIDDHITHUMKA,525,215,9,23,0,6
SOYAK,489,192,10,32,3,1
SOYANG,844,202,6,8,3,1
SULUBUNG,716,73,2,2,0,6
SUMBEK,552,36,0,0,0,3
TOTAL,42261,14875,440,4397,2155,349
