VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,132844,769729,389756,379973,5.794232332660865,102.57465662033883
ACHALGADH,642,3870,2008,1862,6.02803738317757,107.84103114930184
ARNAHA,639,3974,2102,1872,6.219092331768388,112.28632478632478
ATROULI,1276,6471,3117,3354,5.071316614420063,92.93381037567084
AURAHI,1157,7167,3592,3575,6.1944684528954195,100.47552447552448
BABARGANJ,2163,11896,6121,5775,5.4997688395746644,105.991341991342
BAGDAHA,1102,6793,3531,3262,6.164246823956443,108.24647455548744
BAHADURPUR,362,2018,1042,976,5.574585635359116,106.76229508196722
BALARA,1444,7646,4054,3592,5.295013850415512,112.86191536748329
BARA UDHORAN,914,5000,2629,2371,5.470459518599562,110.88148460565162
BARAHATHAWA,3043,18151,9244,8907,5.964837331580677,103.78354103514089
BASANTAPUR,1995,12338,6284,6054,6.184461152882205,103.79914106375949
BATRAUL,778,4881,2533,2348,6.273778920308484,107.87904599659284
BELA,773,4683,2337,2346,6.058214747736093,99.61636828644501
BELHI,582,3555,1844,1711,6.108247422680412,107.77323202805378
BELWA JABDI,871,5798,2973,2825,6.656716417910448,105.23893805309734
BHADSAR,641,3972,2014,1958,6.196567862714509,102.86006128702758
BHAGAWATIPUR,748,4322,2220,2102,5.778074866310161,105.61370123691722
BHAKTIPUR,2984,14794,7169,7625,4.9577747989276135,94.01967213114753
BHAWANIPUR,564,3403,1679,1724,6.033687943262412,97.38979118329466
BRAHMAPURI,1452,8556,4325,4231,5.892561983471074,102.22169699834554
CHANDRA NAGAR,1458,9046,4570,4476,6.204389574759945,102.10008936550491
CHHATAUL,994,6458,3318,3140,6.496981891348089,105.66878980891721
CHHATONA,548,3318,1790,1528,6.054744525547445,117.14659685863876
DHANAKAUL PACHHAWARI,652,4142,2133,2009,6.352760736196319,106.172224987556
DHANAKAUL PURBA,1316,7906,3996,3910,6.007598784194529,102.19948849104858
DHANGADHA,1140,7200,3780,3420,6.315789473684211,110.5263157894737
DHUNGREKHOLA,2711,13500,6533,6967,4.979712283290299,93.77063298406775
DHURKAULI,1813,9565,4664,4901,5.275785990071705,95.16425219342992
DUMARIYA,813,4658,2427,2231,5.72939729397294,108.78529807261317
FARAHADAWA,1016,6296,3193,3103,6.196850393700787,102.9004189494038
FULPARASI,587,3722,1924,1798,6.3407155025553665,107.00778642936596
GADAHIYABAIRI,1095,6663,3469,3194,6.0849315068493155,108.60989355040702
GAMHARIYA,1239,7359,3773,3586,5.939467312348668,105.21472392638036
GODETA,1073,6680,3421,3259,6.225535880708295,104.97084995397361
GOURISHANKAR,2457,14087,7139,6948,5.733414733414733,102.7489925158319
HAJARIYA,2814,16336,8194,8142,5.805259417199716,100.63866371898796
HARAKTHAWA,915,5657,2878,2779,6.182513661202186,103.56243252968693
HARIPUR,2231,11444,5591,5853,5.129538323621694,95.52366307876304
HARIPURWA,2593,15798,8297,7501,6.092556883918242,110.61191841087854
HARIYON,4034,20350,10029,10321,5.044620723847298,97.17081678131963
HATHIYOL,1468,8560,4492,4068,5.831062670299728,110.4228121927237
HEMPUR,1240,7434,3836,3598,5.995161290322581,106.6147859922179
ISHWORPUR,3868,21034,10304,10730,5.437952430196484,96.02982292637465
JABDI,1808,8771,4146,4625,4.851216814159292,89.64324324324325
JAMUNIYA,1284,7834,3883,3951,6.101246105919003,98.27891672994178
JANAKI NAGAR,1528,8090,4027,4063,5.294502617801047,99.11395520551316
JINGADAWA,622,4284,2229,2055,6.887459807073955,108.46715328467154
