VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ACHALGADH,32,143,4,446,3,14
ARNAHA,93,87,3,454,0,2
ATROULI,6,31,10,1222,1,6
AURAHI,22,308,8,808,2,9
BABARGANJ,203,329,27,1557,24,23
BAGDAHA,41,260,17,700,43,41
BAHADURPUR,1,58,1,291,0,11
BALARA,19,224,74,1077,0,50
BARA UDHORAN,92,179,1,628,4,10
BARAHATHAWA,38,1051,348,1518,42,46
BASANTAPUR,14,265,17,1602,85,12
BATRAUL,11,123,13,627,0,4
BELA,8,71,12,601,74,7
BELHI,56,71,12,440,2,1
BELWA JABDI,87,170,33,561,11,9
BHADSAR,68,191,6,358,0,18
BHAGAWATIPUR,24,135,0,573,11,5
BHAKTIPUR,21,173,97,2617,68,8
BHAWANIPUR,8,94,26,424,7,5
BRAHMAPURI,299,249,27,858,11,8
CHANDRA NAGAR,42,131,9,1258,6,12
CHHATAUL,18,71,4,893,2,6
CHHATONA,14,109,15,406,1,3
DHANAKAUL PACHHAWARI,81,72,46,323,95,35
DHANAKAUL PURBA,20,218,33,1038,0,7
DHANGADHA,64,126,29,891,24,6
DHUNGREKHOLA,85,169,152,2185,82,38
DHURKAULI,4,149,157,1484,11,8
DUMARIYA,5,102,64,634,0,8
FARAHADAWA,159,174,39,521,119,4
FULPARASI,29,71,10,463,0,14
GADAHIYABAIRI,95,208,27,639,117,9
GAMHARIYA,68,569,15,577,1,9
GODETA,151,264,37,570,4,47
GOURISHANKAR,21,215,31,2109,15,66
HAJARIYA,339,397,237,1465,334,42
HARAKTHAWA,41,217,30,616,0,11
HARIPUR,74,362,87,1415,267,26
HARIPURWA,67,551,63,1848,37,27
HARIYON,147,1085,502,2233,11,56
HATHIYOL,41,226,11,1016,162,12
HEMPUR,125,192,20,876,14,13
ISHWORPUR,74,659,220,2668,169,78
JABDI,33,517,87,1096,75,0
JAMUNIYA,160,374,4,692,27,27
JANAKI NAGAR,11,91,155,1230,21,20
JINGADAWA,121,205,0,289,3,4
KABILASI,199,589,55,997,0,42
KALINJOR,15,35,2,928,0,11
KARMAIYA,110,319,98,1235,7,25
KHIRWA,10,301,77,1470,3,15
KHORIYA,241,133,2,329,5,23
KHUTAUNA,236,176,17,227,107,3
KISANPUR,72,140,47,612,3,12
KAUDENA,72,539,18,577,0,6
LALBANDI,202,844,677,1509,39,24
LAUKATH,7,98,94,900,11,19
LAXMIPUR KODRAHA,118,164,27,997,134,20
LAXMIPUR SU.,116,219,8,524,10,11
MADHUBANGOTH,52,218,1,677,1,2
MADHUBANI,48,145,41,501,14,2
MAHINATHPUR,21,97,0,477,9,6
BHELHI,63,230,13,430,8,10
MALANGAWA MUNICIPALITY,887,1903,687,811,87,58
MANPUR,107,128,121,931,58,7
MIRJAPUR,4,148,2,562,21,2
MOHANPUR,59,122,15,822,10,5
MOTIPUR,280,161,3,191,1,1
MURTIYA,47,371,222,861,42,19
MUSAULI,254,213,27,325,8,6
NARAYAN KHOLA,1,0,0,700,0,10
NARAYANPUR,54,86,0,422,1,2
NETRAGANJ,106,583,140,1169,69,24
NOUKAILAWA,108,235,78,1410,72,48
PARSA,153,228,0,592,1,18
PARWANIPUR,33,135,14,1495,0,19
PATTHARKOT,8,32,12,1451,4,9
PIDARI,45,109,100,565,83,15
PIDARIYA,108,126,12,528,75,2
PIPARIYA,36,266,44,863,0,9
RAJGHAT,87,289,385,1229,14,36
RAMBAN,14,249,44,520,0,14
RAMNAGAR BAHUARWA,1,126,22,826,0,5
RANIGANJ,11,111,144,849,0,6
ROHUWA,6,141,2,359,8,4
SAKRAUL,24,173,4,518,17,13
SALEMPUR,229,384,4,569,50,11
SANGRAMPUR,55,230,22,830,10,16
SANKARPUR,63,195,290,987,131,5
SASAPUR,19,142,33,1000,10,42
SHREEPUR,13,118,56,526,34,11
SIKHAUNA,23,149,9,606,1,5
SIMARA,237,176,7,820,55,70
SISOTIYA,136,589,22,864,0,23
SISOUT,48,231,19,953,11,21
SAHODAWA,15,54,1,523,40,10
SUDAMA,16,161,10,462,0,2
SUNDARPUR,15,279,39,745,2,6
SUNDARPUR CHOHARWA,45,373,368,990,130,6
TRIBHUWAN NAGAR,150,208,11,199,10,0
TOTAL,8311,25207,6966,87260,3391,1668
