VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
SASAPUR,225,1009,425,614,177,22,2,8,822,5,96,835,8,17,12
SHREEPUR,204,535,229,188,3,9,1,14,321,9,73,444,9,0,19
SIKHAUNA,124,663,320,28,1,2,2,3,406,1,40,587,22,0,6
SIMARA,442,861,449,26,2,4,0,3,484,1,82,703,1,0,62
SISOTIYA,523,1087,544,368,13,11,3,10,642,20,140,906,63,1,24
SISOUT,219,1051,608,268,10,12,2,8,660,8,103,902,27,1,13
SAHODAWA,143,489,220,172,5,10,3,8,266,2,48,393,0,0,11
SUDAMA,179,471,203,207,7,2,0,0,325,1,72,385,2,5,1
SUNDARPUR,281,753,394,207,19,2,0,1,207,3,73,656,2,0,52
SUNDARPUR CHOHARWA,500,1365,874,252,16,10,2,6,917,6,139,1103,0,0,47
TRIBHUWAN NAGAR,92,469,258,134,10,6,2,3,324,7,85,222,8,1,17
