VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ACHALGADH,843,825,466,345,295,355,82,125
ARNAHA,874,777,421,283,451,493,2,1
ATROULI,1458,1586,952,910,457,604,49,72
AURAHI,1658,1657,827,548,676,881,155,228
BABARGANJ,2697,2558,1639,1301,929,1066,129,191
BAGDAHA,1598,1427,654,465,875,881,69,81
BAHADURPUR,466,426,212,149,253,275,1,2
BALARA,1706,1518,694,478,726,803,286,237
BARA UDHORAN,1116,1012,627,503,411,444,78,65
BARAHATHAWA,3978,4000,2703,2296,1184,1581,91,123
BASANTAPUR,2835,2767,1229,918,1329,1463,277,386
BATRAUL,1178,1070,424,268,626,690,128,112
BELA,1031,1040,658,586,260,282,113,172
BELHI,819,861,416,330,368,463,35,68
BELWA JABDI,1349,1300,667,544,626,715,56,41
BHADSAR,867,869,499,409,362,453,6,7
BHAGAWATIPUR,1021,935,534,424,473,505,14,6
BHAKTIPUR,3048,3258,1930,1703,994,1342,124,213
BHAWANIPUR,769,811,259,241,462,518,48,52
BRAHMAPURI,1912,1927,871,730,933,1110,108,87
CHANDRA NAGAR,1983,2012,1024,846,842,1016,117,150
CHHATAUL,1497,1438,600,301,586,738,311,399
CHHATONA,793,621,360,205,430,415,3,1
DHANAKAUL PACHHAWARI,952,945,382,280,569,662,1,3
DHANAKAUL PURBA,1837,1771,824,645,1007,1122,6,4
DHANGADHA,1705,1539,846,560,795,870,64,109
DHUNGREKHOLA,2881,3037,1944,1818,848,1071,89,148
DHURKAULI,2045,2196,1430,1387,577,780,38,29
DUMARIYA,998,948,489,405,489,507,20,36
FARAHADAWA,1529,1502,728,587,797,911,4,4
FULPARASI,884,811,471,346,409,465,4,0
GADAHIYABAIRI,1537,1375,696,468,812,892,29,15
GAMHARIYA,1704,1586,1082,822,497,611,125,153
GODETA,1509,1458,689,563,568,583,252,312
GOURISHANKAR,3178,3148,1740,1375,1275,1604,163,169
HAJARIYA,3701,3884,1751,1261,1378,1835,572,788
HARAKTHAWA,1266,1217,693,580,475,538,98,99
HARIPUR,2352,2536,1525,1380,622,805,205,351
HARIPURWA,3660,3231,1664,1109,1663,1767,333,355
HARIYON,3934,4140,2617,2447,1088,1425,229,268
HATHIYOL,2114,1832,837,525,1078,1088,199,219
HEMPUR,1627,1661,776,573,834,1080,17,8
ISHWORPUR,4553,4694,2868,2492,1572,2053,113,149
JABDI,1613,1873,1181,1216,417,639,15,18
JAMUNIYA,1765,1835,955,696,616,821,194,318
JANAKI NAGAR,1799,1795,1170,986,560,736,69,73
JINGADAWA,1033,939,485,333,538,595,10,11
KABILASI,2830,2551,1602,1202,1096,1190,132,159
KALINJOR,1133,1201,738,725,369,431,26,45
KARMAIYA,1934,1968,1388,1252,538,693,8,23
KHIRWA,2848,2542,1260,785,1427,1613,161,144
KHORIYA,1052,1021,611,446,437,568,4,7
KHUTAUNA,1167,1132,522,377,567,671,78,84
KISANPUR,1353,1358,647,484,481,614,225,260
KAUDENA,1674,1692,910,756,660,783,104,153
LALBANDI,2676,2753,2117,2032,520,680,39,41
LAUKATH,1505,1504,863,576,642,926,0,2
LAXMIPUR KODRAHA,2349,2374,1009,851,1281,1463,59,60
