VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ASHRANG,268,1,0,4,0,4
BADIKHEL,595,96,74,10,9,7
BHARDEV,416,5,1,0,0,8
BHATTEDANDA,419,1,0,1,0,8
BISANKHUNARAYAN,872,139,25,5,3,3
BUKHEL,332,0,0,1,0,1
BUNGAMATI,966,258,68,0,4,8
CHANDANPUR,220,0,0,1,0,1
CHAPAGAUN,2067,873,600,8,1,161
CHHAMPI,809,225,20,2,4,11
CHOUGHARE,376,0,1,1,0,2
DALCHOKI,265,1,0,1,0,2
DEVICHOUR,559,12,3,0,0,3
DHAPAKHEL,896,1375,855,13,6,33
DHUSEL,304,1,1,0,0,2
DUKUCHHAP,533,18,3,0,0,1
GIMDI,445,0,0,13,2,1
GODAMCHAUR,790,198,82,8,8,8
GODAWARI,933,530,280,6,1,75
GOTIKHEL,391,2,0,0,0,10
HARISIDDHI,617,972,1034,8,8,98
IKUDOL,384,0,0,0,1,2
IMADOL,939,2931,2886,8,10,124
JHARUWARASI,673,226,24,0,2,11
KALESWOR,291,0,0,0,0,5
KHOKANA,695,161,195,2,1,2
LALITPUR SUB-METROPOLITAN CITY,10413,18359,22944,280,172,2413
LAMATAR,1178,459,99,2,1,20
LELE,1534,242,23,5,1,17
LUBHU,1087,658,596,8,0,16
MALTA,359,1,0,4,0,6
MANIKHEL,392,0,0,3,0,1
NALLU,445,8,0,2,1,4
PYUTAR,382,0,0,0,0,0
SAINBU,588,1973,2125,114,26,177
SANKHU,457,1,0,0,0,4
SIDDHIPUR,737,379,304,0,1,63
SUNAKOTHI,652,1102,586,19,5,33
THAIBA,738,770,364,6,4,100
THECHO,1033,1141,143,11,2,22
THULADURLUNG,278,0,0,12,0,1
TIKATHALI,530,1033,598,4,2,257
TOTAL,36858,34151,33934,562,275,3725
