VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ASHRANG,287,302,204,220,82,75,1,7
BADIKHEL,575,611,382,367,179,230,14,14
BHARDEV,458,538,298,299,153,222,7,17
BHATTEDANDA,396,405,309,286,85,115,2,4
BISANKHUNARAYAN,688,745,517,511,141,191,30,43
BUKHEL,321,351,247,265,71,84,3,2
BUNGAMATI,815,773,558,522,183,175,74,76
CHANDANPUR,224,225,175,172,47,52,2,1
CHAPAGAUN,2431,2580,1716,1703,617,766,98,111
CHHAMPI,781,884,558,578,219,304,4,2
CHOUGHARE,389,457,253,253,117,191,19,13
DALCHOKI,222,266,172,183,38,64,12,19
DEVICHOUR,611,677,385,401,222,263,4,13
DHAPAKHEL,1817,1760,1425,1321,376,415,16,24
DHUSEL,317,342,195,183,118,153,4,6
DUKUCHHAP,545,567,329,323,188,219,28,25
GIMDI,506,498,381,343,123,155,2,0
GODAMCHAUR,675,711,536,514,115,175,24,22
GODAWARI,1224,1182,903,815,294,336,27,31
GOTIKHEL,284,335,228,266,53,67,3,2
HARISIDDHI,1695,1569,1133,1021,523,509,39,39
IKUDOL,377,382,289,261,62,92,26,29
IMADOL,4028,3842,2976,2612,918,1088,134,142
JHARUWARASI,578,597,451,435,99,142,28,20
KALESWOR,270,252,226,194,43,54,1,4
KHOKANA,648,650,456,462,162,167,30,21
LALITPUR SUB-METROPOLITAN CITY,29425,26797,21976,19839,6900,6426,549,532
LAMATAR,1194,1169,845,756,256,315,93,98
LELE,1458,1696,997,1093,393,528,68,75
LUBHU,1370,1341,996,967,345,353,29,21
MALTA,406,415,295,269,110,146,1,0
MANIKHEL,382,450,264,304,106,128,12,18
NALLU,459,512,288,275,166,234,5,3
PYUTAR,436,488,311,345,120,139,5,4
SAINBU,2824,2928,2101,2037,688,861,35,30
SANKHU,442,465,373,367,59,84,10,14
SIDDHIPUR,755,718,585,534,133,147,37,37
SUNAKOTHI,1416,1442,1007,997,346,365,63,80
THAIBA,1304,1236,911,838,366,382,27,16
THECHO,1427,1330,990,922,403,363,34,45
THULADURLUNG,310,342,222,228,88,114,0,0
TIKATHALI,1479,1420,1092,987,333,345,54,88
INSTITUTIONAL,3499,2120,2793,1902,665,207,41,11
