VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AJAYAMERU,818,907,660,622,147,275,11,10
ALITAL,2997,3466,2319,2427,633,946,45,93
AMARGADHI MUNICIPALITY,4118,4693,3404,3381,660,1232,54,80
ASHIGRAM,701,815,562,588,138,225,1,2
BAGARKOT,1004,1087,770,755,225,316,9,16
BELAPUR,1562,1938,1215,1206,318,658,29,74
BHADRAPUR,405,530,351,391,44,112,10,27
BHAGESWOR,845,941,712,697,121,231,12,13
CHIPUR,545,670,458,483,86,186,1,1
DEWAL DIBYAPUR,1270,1508,967,1023,274,456,29,29
GANESHPUR,686,926,609,657,71,258,6,11
GANKHET,1150,1263,782,785,348,452,20,26
JOGBUDA,4876,5490,3791,3759,1013,1590,72,141
KAILAPALAMANDAU,939,1093,794,737,136,343,9,13
KOTELI,902,1198,778,866,114,324,10,8
MANILEK,933,1188,722,728,185,397,26,63
MASHTAMANDAU,673,935,549,620,104,295,20,20
NAWADURGA,700,852,602,612,98,238,0,2
RUPAL,1258,1519,975,1059,265,430,18,30
SAMEJEE,471,553,368,390,100,160,3,3
SIRSHA,3044,3397,2333,2406,686,952,25,39
INSTITUTIONAL,281,21,74,13,206,7,1,1
