VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AJAYAMERU,25,28,710,9,1,0,0,13
ALITAL,705,959,645,43,5,0,9,13
AMARGADHI MUNICIPALITY,201,618,2946,929,13,2,33,36
ASHIGRAM,115,88,418,26,1,0,0,2
BAGARKOT,123,69,639,10,0,2,5,11
BELAPUR,120,25,1281,10,1,0,1,13
BHADRAPUR,7,3,422,1,0,0,0,9
BHAGESWOR,52,61,557,2,1,0,0,9
CHIPUR,5,1,545,0,0,0,0,4
DEWAL DIBYAPUR,17,21,857,4,0,0,114,10
GANESHPUR,28,46,613,26,0,0,1,1
GANKHET,312,87,487,12,0,1,0,2
JOGBUDA,882,294,1823,278,18,266,131,27
KAILAPALAMANDAU,61,15,815,2,0,0,0,3
KOTELI,24,29,937,23,0,0,2,1
MANILEK,5,12,945,7,0,0,0,1
MASHTAMANDAU,52,50,634,72,0,0,0,1
NAWADURGA,46,27,537,72,1,0,1,11
RUPAL,214,6,672,2,2,0,18,7
SAMEJEE,12,17,466,2,0,0,0,8
SIRSHA,595,321,970,137,115,80,27,26
TOTAL,3601,2777,17919,1667,158,351,342,208
