VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AJAYAMERU,538,53,2,7,174,12
ALITAL,1072,166,4,247,883,7
AMARGADHI MUNICIPALITY,3947,246,17,18,527,23
ASHIGRAM,439,12,5,24,168,2
BAGARKOT,343,40,11,97,357,11
BELAPUR,42,103,2,214,1079,11
BHADRAPUR,289,37,0,9,103,4
BHAGESWOR,5,54,2,281,330,10
CHIPUR,329,30,0,37,157,2
DEWAL DIBYAPUR,370,146,0,58,443,6
GANESHPUR,531,5,0,0,179,0
GANKHET,54,253,3,162,428,1
JOGBUDA,828,390,7,1099,1380,15
KAILAPALAMANDAU,541,2,1,6,345,1
KOTELI,626,13,10,4,363,0
MANILEK,380,2,164,60,363,1
MASHTAMANDAU,418,11,44,5,330,1
NAWADURGA,534,2,2,7,147,3
RUPAL,262,205,1,104,345,4
SAMEJEE,406,8,7,2,78,4
SIRSHA,1012,242,5,394,601,17
TOTAL,12966,2020,287,2835,8780,135
