VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AHALE,797,86,1,1,0,2
ANKHISALLA,1063,162,0,2,1,0
ARKHAULE JITPUR,730,163,6,19,13,3
BASANTATAR,384,104,10,103,44,3
BELHARA,1148,126,0,2,2,3
BHIRGAUN,842,122,3,1,5,2
BODHE,606,54,9,7,13,2
CHHA NAMBAR BUDHABARE,292,121,4,27,2,0
BUDI MORANG,714,101,0,24,3,5
CHANUWA,729,89,2,10,1,0
CHHINTANG,1496,317,4,1,1,3
CHUNGWANG,850,103,2,2,0,1
DANDA BAZAR,614,45,2,2,1,0
DANDAGAUN,365,78,2,3,1,1
DHANKUTA MUNICIPALITY,6735,378,35,8,18,30
FAKSIB,328,42,0,3,6,1
FALATE,367,179,0,30,5,1
GHORLIKHARKA,438,145,0,11,7,0
HATHIKHARKA,997,118,0,2,13,2
KHOKU,681,124,0,14,7,0
KHUWAPHOK,350,149,0,102,43,0
KURULE TENUPA,11,201,3,584,72,3
LEGUWA,943,118,3,3,10,4
MAHABHARAT,844,97,0,0,1,1
MAREK KATAHARE,937,204,3,155,33,2
MAUNABUDHUK,557,20,3,0,4,0
MUDHEBAS,594,42,0,13,2,1
MUGA,678,177,2,4,6,2
MURTIDHUNGA,757,92,1,0,0,2
PAKHRIBAS,1056,74,1,0,1,4
PAREWADIN,1450,150,6,0,0,5
RAJA RANI,611,26,3,0,5,2
SANNE,753,69,1,5,2,1
TANKHUWA,843,135,6,10,1,4
TELIA,408,75,1,0,6,0
VEDETAR,622,49,1,0,7,3
TOTAL,31590,4335,114,1148,336,93
