VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AHALE,752,2,0,11,97,23,0,2
ANKHISALLA,966,0,62,140,48,12,0,0
ARKHAULE JITPUR,755,1,9,51,114,1,0,3
BASANTATAR,555,1,44,22,16,7,0,3
BELHARA,1155,0,10,39,19,55,0,3
BHIRGAUN,782,0,37,112,40,2,0,2
BODHE,331,0,6,288,3,61,0,2
CHHA NAMBAR BUDHABARE,415,0,1,17,11,2,0,0
BUDI MORANG,805,0,0,23,1,13,0,5
CHANUWA,734,2,7,39,27,19,3,0
CHHINTANG,1374,2,5,381,28,27,2,3
CHUNGWANG,665,0,62,122,107,0,1,1
DANDA BAZAR,374,0,5,66,218,1,0,0
DANDAGAUN,412,1,2,18,15,0,1,1
DHANKUTA MUNICIPALITY,6038,9,110,493,445,20,60,29
FAKSIB,352,0,0,14,12,1,0,1
FALATE,514,0,5,57,5,0,0,1
GHORLIKHARKA,466,0,38,43,47,7,0,0
HATHIKHARKA,1010,0,1,42,61,6,10,2
KHOKU,640,1,12,160,10,3,0,0
KHUWAPHOK,478,0,1,17,138,6,4,0
KURULE TENUPA,637,0,18,148,14,17,37,3
LEGUWA,895,1,39,120,11,11,0,4
MAHABHARAT,772,0,69,61,20,21,0,0
MAREK KATAHARE,1242,0,2,27,59,3,0,1
MAUNABUDHUK,543,0,0,27,14,0,0,0
MUDHEBAS,485,0,2,152,11,0,1,1
MUGA,696,0,3,133,35,0,0,2
MURTIDHUNGA,763,0,2,24,53,3,5,2
PAKHRIBAS,1048,0,21,15,44,1,3,4
PAREWADIN,1073,0,52,138,331,1,11,5
RAJA RANI,550,1,57,30,7,0,0,2
SANNE,738,2,0,10,79,0,1,1
TANKHUWA,797,3,0,82,104,8,1,4
TELIA,270,0,0,167,53,0,0,0
VEDETAR,633,1,0,7,1,36,1,3
TOTAL,30715,27,682,3296,2298,367,141,90
