VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AHALE,159,708,519,220,9,5,0,2,523,0,0,0,0,3,20
ANKHISALLA,228,1000,633,420,5,11,0,15,778,2,12,1,3,3,0
ARKHAULE JITPUR,203,726,539,294,29,11,7,2,623,0,13,0,0,3,5
BASANTATAR,102,539,338,137,1,11,0,2,458,4,10,0,0,0,7
BELHARA,104,1159,767,642,82,30,28,49,1064,4,19,1,2,22,18
BHIRGAUN,134,839,491,558,4,8,2,11,747,0,1,1,0,0,2
BODHE,91,584,503,227,3,8,3,2,476,1,2,1,0,0,16
CHHA NAMBAR BUDHABARE,80,366,325,131,25,13,4,5,254,2,26,9,1,1,0
BUDI MORANG,120,714,505,205,12,14,1,18,652,7,13,3,0,1,13
CHANUWA,128,677,394,263,71,10,6,11,618,0,1,1,0,0,26
CHHINTANG,353,1425,1078,473,41,13,4,40,1104,0,10,6,1,2,44
CHUNGWANG,61,884,675,372,45,4,0,15,754,1,2,0,0,0,13
DANDA BAZAR,64,599,442,364,38,14,5,25,548,1,13,2,0,2,1
DANDAGAUN,52,397,303,144,37,4,4,10,363,0,0,1,0,0,1
DHANKUTA MUNICIPALITY,349,6765,4852,4418,2037,794,340,1178,6194,105,509,141,40,366,90
FAKSIB,105,274,191,102,7,0,0,5,247,0,0,0,0,0,1
FALATE,141,441,373,147,1,3,0,0,390,0,3,2,0,0,0
GHORLIKHARKA,75,504,468,131,1,4,0,11,395,0,0,0,0,1,22
HATHIKHARKA,170,950,533,441,3,8,2,62,870,0,3,1,1,0,12
KHOKU,121,704,467,228,14,4,2,15,639,1,13,1,0,1,1
KHUWAPHOK,169,474,350,76,6,7,4,2,411,0,1,1,0,1,1
KURULE TENUPA,148,721,623,52,1,3,1,12,595,0,2,3,0,0,5
LEGUWA,184,891,469,389,102,12,4,85,702,3,13,2,1,28,6
MAHABHARAT,221,722,443,240,11,1,0,4,658,0,1,1,0,0,0
MAREK KATAHARE,159,1163,756,303,7,7,1,50,1054,0,11,2,0,0,12
MAUNABUDHUK,39,533,455,233,50,21,2,4,464,3,9,2,0,1,12
MUDHEBAS,133,518,378,157,7,4,0,10,458,0,2,1,0,0,1
MUGA,99,762,593,340,5,7,0,27,624,1,1,1,0,0,8
MURTIDHUNGA,77,771,503,403,10,9,0,23,721,5,12,2,0,0,4
PAKHRIBAS,60,1064,720,717,252,81,35,83,948,8,35,9,4,13,12
PAREWADIN,159,1429,999,706,192,50,26,19,1321,6,27,10,0,4,23
RAJA RANI,91,547,330,254,30,16,4,16,493,1,7,1,1,3,9
SANNE,109,720,550,356,31,14,4,11,672,0,2,0,0,3,2
TANKHUWA,134,852,653,402,21,10,3,4,791,2,16,2,3,0,13
TELIA,77,412,298,180,0,1,1,2,352,1,5,0,0,0,1
VEDETAR,61,620,418,356,50,25,6,14,559,10,24,4,0,50,1
