VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AHALE,417,5,1,462,0,2
ANKHISALLA,783,22,4,396,23,0
ARKHAULE JITPUR,817,5,0,96,9,7
BASANTATAR,504,46,0,96,0,2
BELHARA,1013,72,5,186,1,4
BHIRGAUN,893,0,1,74,4,3
BODHE,455,2,0,186,47,1
CHHA NAMBAR BUDHABARE,388,4,1,44,9,0
BUDI MORANG,688,41,1,111,1,5
CHANUWA,764,3,0,50,11,3
CHHINTANG,923,17,5,869,5,3
CHUNGWANG,794,29,3,129,2,1
DANDA BAZAR,568,54,0,29,12,1
DANDAGAUN,393,1,0,54,1,1
DHANKUTA MUNICIPALITY,4229,1470,674,697,88,46
FAKSIB,261,3,0,109,5,2
FALATE,517,0,0,62,1,2
GHORLIKHARKA,527,0,0,71,0,3
HATHIKHARKA,1072,14,1,31,12,2
KHOKU,574,4,0,242,4,2
KHUWAPHOK,500,7,0,133,4,0
KURULE TENUPA,684,6,2,177,2,3
LEGUWA,1011,16,1,46,2,5
MAHABHARAT,657,32,0,248,1,5
MAREK KATAHARE,1265,3,0,50,13,3
MAUNABUDHUK,432,48,1,98,3,2
MUDHEBAS,216,17,1,414,3,1
MUGA,772,3,0,88,3,3
MURTIDHUNGA,822,4,1,16,8,1
PAKHRIBAS,895,58,43,133,1,6
PAREWADIN,1277,94,146,85,6,3
RAJA RANI,504,7,24,64,44,4
SANNE,787,4,0,37,1,2
TANKHUWA,887,27,24,55,2,4
TELIA,407,3,0,79,0,1
VEDETAR,416,40,52,165,7,2
TOTAL,28112,2161,991,5882,335,135
