VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AALAPOT,416,6,247,0,1,1,0,0
BAAD BHANJYANG,506,17,282,0,4,1,1,6
BAJRAYOGINI (SANKHU),593,19,312,0,0,0,0,4
BALAMBU,401,59,1250,4,0,1,13,6
BALUWA,811,16,354,1,8,0,2,12
BHADRABAS,249,1,252,1,0,0,0,0
BHIMDHUNGA,490,2,123,0,2,0,0,2
BUDANILKANTHA,545,94,3063,1,1,1,3,17
CHALNAKHEL,625,19,350,1,1,0,0,9
CHAPALI BHADRAKALI,357,142,2045,3,7,1,5,14
CHHAIMALE,892,2,63,0,6,0,0,5
DAHACHOK,616,1,257,0,1,3,0,0
CHUNIKHEL,540,11,295,1,8,0,0,4
DAANCHHI,667,126,1765,1,6,1,3,24
DAXINKALI,492,17,465,0,3,2,0,5
DHAPASI,152,208,7780,4,2,2,3,51
DHARMASTHALI,543,25,843,2,1,3,1,3
FUTUNG,274,12,775,0,0,1,1,1
GAGALPHEDI,859,15,283,0,3,1,0,5
GOKARNESWOR,326,74,1356,0,2,0,1,9
GOLDHUNGA,808,90,2859,0,7,1,4,37
GONGGABU,250,223,13872,2,1,4,30,74
GOTHATAR,345,151,6172,2,2,3,15,59
ICHANG NARAYAN,560,109,5540,3,4,1,13,58
INDRAYANI,417,10,281,0,1,1,0,7
JHOR MAHANKAL,704,6,162,1,0,0,0,0
JITPURPHEDI,946,9,145,0,0,0,0,3
JORPATI,354,1136,20060,7,7,3,27,268
KABHRESTHALI,649,5,342,0,2,3,1,5
KAPAN,359,243,11623,6,1,3,10,79
KATHMANDU METROPOLITAN CITY,4439,7541,239297,82,40,142,597,2154
KHADKA BHADRAKALI,212,49,2305,1,1,0,1,13
KIRTIPUR MUNICIPALITY,1383,301,17542,15,5,21,53,121
LAPSIPHEDI,1147,3,46,1,1,0,0,11
MACHHEGAUN,257,23,582,2,1,0,3,4
MAHADEVATHAN,447,142,3069,1,3,1,42,26
MAHANKAL,168,94,4115,1,0,2,9,32
MANMAIJU,257,138,10462,2,1,3,11,75
MATATIRTHA,345,16,1036,0,3,0,0,13
MULPANI,347,59,2217,0,8,0,3,13
NAGLEBHARE,906,4,17,1,3,0,0,4
NAIKAP NAYA BHANJYANG,124,39,1801,2,1,0,2,11
NAIKAP PURANO BHANJYANG,293,37,709,1,4,1,3,6
NAYAPATI,476,40,1196,1,8,2,0,2
PUKHULACHHI,144,68,374,1,1,1,4,3
RAMKOT,843,14,1057,1,11,1,5,5
SANGLA,551,7,246,0,3,0,0,1
SETIDEVI,682,26,316,0,9,3,0,3
SATUNGAL,252,117,2339,0,0,2,6,10
SEUCHATAR,363,99,2881,3,4,0,12,16
SHESHNARAYAN,311,19,463,0,0,0,37,14
SITAPAILA,285,110,4095,0,2,0,3,29
SUNDARIJAL,424,2,114,0,0,6,0,1
SUNTOL,647,22,346,0,2,0,0,4
TALKUDUDECHOUR,600,4,37,0,6,0,0,1
THANKOT,494,206,2044,2,13,1,4,56
TINTHANA,139,104,2225,3,2,1,6,27
TOKHA CHANDESWORI,523,8,304,0,0,0,2,4
TOKHA SARSWOTI,418,73,685,0,1,0,4,8
TOTAL,33223,12213,385136,160,214,224,940,3434
