VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,436344,1744240,913001,831239,3.997396549511395,109.83616023790992
AALAPOT,671,3159,1561,1598,4.707898658718331,97.6846057571965
BAAD BHANJYANG,817,3779,1873,1906,4.625458996328029,98.26862539349422
BAJRAYOGINI (SANKHU),928,4333,2086,2247,4.669181034482759,92.83489096573209
BALAMBU,1734,7323,3625,3698,4.22318339100346,98.02595997836669
BALUWA,1204,5467,2702,2765,4.540697674418604,97.72151898734177
BHADRABAS,503,2388,1195,1193,4.747514910536779,100.16764459346186
BHIMDHUNGA,619,2915,1484,1431,4.709208400646204,103.7037037037037
BUDANILKANTHA,3725,15421,7604,7817,4.13986577181208,97.27516950236664
CHALNAKHEL,1005,4365,2093,2272,4.343283582089552,92.12147887323944
CHAPALI BHADRAKALI,2574,10827,5337,5490,4.206293706293707,97.21311475409836
CHHAIMALE,968,4216,1977,2239,4.355371900826446,88.29834747655202
DAHACHOK,878,4036,1991,2045,4.596810933940774,97.359413202934
CHUNIKHEL,859,4449,2208,2241,5.179278230500582,98.52744310575636
DAANCHHI,2593,11246,5697,5549,4.3370613189355955,102.6671472337358
DAXINKALI,984,4755,2344,2411,4.8323170731707314,97.2210700953961
DHAPASI,8202,31406,16092,15314,3.82906608144355,105.08031866266161
DHARMASTHALI,1421,6530,3250,3280,4.595355383532723,99.08536585365853
FUTUNG,1064,4792,2365,2427,4.503759398496241,97.44540585084466
GAGALPHEDI,1166,5533,2707,2826,4.745283018867925,95.78910120311394
GOKARNESWOR,1768,7508,3777,3731,4.246606334841629,101.23291342803537
GOLDHUNGA,3806,16174,8325,7849,4.249605885444036,106.06446681105875
GONGGABU,14456,54410,28015,26395,3.763835085777532,106.13752604659975
GOTHATAR,6749,26169,13184,12985,3.8774633279004296,101.53253754331921
ICHANG NARAYAN,6288,24425,12152,12273,3.884382951653944,99.01409598305223
INDRAYANI,717,3361,1658,1703,4.687587168758717,97.35760422783324
JHOR MAHANKAL,873,4103,2010,2093,4.699885452462772,96.03440038222647
JITPURPHEDI,1103,5135,2499,2636,4.655485040797824,94.80273141122913
JORPATI,21862,84567,42445,42122,3.8682188271887292,100.76682018897489
KABHRESTHALI,1007,4774,2364,2410,4.740814299900695,98.09128630705393
KAPAN,12324,48463,24671,23792,3.9324083089905875,103.69451916610626
KATHMANDU METROPOLITAN CITY,254292,975453,511841,463612,3.835956302203766,110.40287999447813
KHADKA BHADRAKALI,2582,10761,5336,5425,4.167699457784663,98.35944700460828
KIRTIPUR MUNICIPALITY,19441,65602,36476,29126,3.3744148963530685,125.23518505802376
LAPSIPHEDI,1209,5629,2751,2878,4.655913978494624,95.58721334259903
MACHHEGAUN,872,3849,1884,1965,4.4139908256880735,95.87786259541986
MAHADEVATHAN,3731,15514,7731,7783,4.158134548378451,99.33187716818708
MAHANKAL,4421,17997,9029,8968,4.070798461886451,100.68019625334523
MANMAIJU,10949,40416,20761,19655,3.691296008767924,105.62706690409564
MATATIRTHA,1413,5982,3004,2978,4.233545647558387,100.87306917394226
MULPANI,2647,11742,5889,5853,4.435965243672082,100.61506919528446
NAGLEBHARE,935,4520,2202,2318,4.834224598930481,94.99568593615186
NAIKAP NAYA BHANJYANG,1980,7944,4025,3919,4.012121212121212,102.70477162541465
NAIKAP PURANO BHANJYANG,1054,4546,2251,2295,4.313092979127135,98.08278867102396
NAYAPATI,1725,7257,3549,3708,4.20695652173913,95.71197411003236
PUKHULACHHI,596,2676,1298,1378,4.489932885906041,94.1944847605225
RAMKOT,1937,8759,4399,4360,4.52194114610222,100.89449541284404
SANGLA,808,3622,1812,1810,4.482673267326732,100.11049723756906
SETIDEVI,1039,4248,2117,2131,4.088546679499519,99.3430314406382
SATUNGAL,2726,10452,5425,5027,3.834189288334556,107.91724686691863
SEUCHATAR,3378,13412,6855,6557,3.970396684428656,104.54476132377613
SHESHNARAYAN,844,3855,1953,1902,4.567535545023697,102.6813880126183
SITAPAILA,4524,17909,9174,8735,3.9586648983200705,105.02575844304522
SUNDARIJAL,547,2552,1252,1300,4.6654478976234,96.3076923076923
SUNTOL,1021,4819,2351,2468,4.719882468168462,95.25931928687196
TALKUDUDECHOUR,648,2858,1389,1469,4.410493827160494,94.55411844792377
THANKOT,2820,12047,6106,5941,4.271985815602837,102.77731021713517
TINTHANA,2507,9726,4966,4760,3.8795372955723972,104.32773109243698
TOKHA CHANDESWORI,841,3961,1928,2033,4.70986920332937,94.83521888834235
TOKHA SARSWOTI,1189,5152,2664,2488,4.33305298570227,107.07395498392283
