VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ANAKAR,774,136,77,2
AURAHI,1308,159,169,2
BAGADA,971,92,97,6
BADIYA BANCHAURI,852,164,160,2
BAIRGIYA LAXMINIYA,489,63,27,5
BALAWA,1204,216,75,1
BANAULI DONAULI,556,325,63,0
BANOUTA,1113,93,92,9
BARDIBAS,456,1481,760,13
BASABITTI,860,103,66,7
BATHANAHA,1105,294,229,16
BELGACHHI,1020,56,74,7
BHARATPUR,1542,116,167,11
BHATAULIYA,650,150,40,5
BIJAYALPURA,1322,145,68,2
BRAMARPURA,874,653,201,6
DAMHIMARAYEE,1217,222,280,4
DHAMAURA,2055,140,311,11
DHARMAPUR,705,95,302,2
DHIRAPUR,1130,254,167,5
EKADARABELA,1232,178,191,4
EKARAHIYA,925,263,602,6
ETAHARWAKATTI,731,324,97,4
FULAHATTA PARIKAULI,676,174,161,12
FULAKAHA,1115,45,13,14
GAIDHA BHETPUR,760,80,75,4
GAURIBAS,385,453,648,1
GAUSHALA,2117,749,151,5
GONARPURA,1007,187,114,0
HALKHORI,880,80,88,3
HARIHARPUR HARINAMARI,1079,111,91,2
HATHILET,822,173,135,9
HATISARWA,1117,43,88,6
JALESHWOR MUNICIPALITY,1624,1656,876,48
KHAIRBANNI,1361,73,14,38
KHAYAR MARA,1020,198,504,5
KHOPI,1223,150,31,5
KHUTTAPIPARADHI,1269,277,229,16
KISAN NAGAR,1216,112,172,7
KOLHUWA BAGAICHA,961,173,173,1
LAXIMINIYA,1594,162,219,20
LOHARPATTI,1059,241,236,1
MAHADAIYATAPANPUR,861,183,44,1
MAHOTTARI,1317,271,242,0
MAISTHAN,1391,255,513,6
MAJHORA BISHNUPUR,952,78,153,16
MANARA,795,168,174,18
MATIHANI,912,462,134,2
MEGHANATH GORAHANNA,982,60,0,6
NAINHI,1073,117,138,17
NIGAUL,1190,109,50,4
PARAUL,913,124,123,3
PARSA DEWADH,1467,134,47,16
PARSA PATELI,507,139,63,0
PASUPATINAGAR,715,60,62,4
PIGOUNA,365,188,184,2
PIPRA,1093,374,152,16
POKHARIBHINDA SAMGRAMPUR,816,80,43,3
RAGHUNATHPUR,911,80,11,11
RAMGOPALPUR,1792,169,79,15
RAMNAGAR,1017,214,111,1
RATAULI,348,277,356,12
SAHASAULA,1099,136,23,11
SAHORAWA,467,82,573,0
SANDHA,581,143,73,4
SARPALLO,1217,401,144,27
SHAMSI,914,175,180,4
SHREEPUR,1733,211,59,7
SIMARDAHI,737,110,110,4
SINGYAHI,1220,130,108,14
SISAWAKATAIYA,1022,202,59,7
SONAMA,1314,172,33,10
SONAMAI,1430,174,47,11
SONAUL,566,71,59,1
SUGA VAWANI,551,328,108,38
SUNDARPUR,2011,214,85,3
VAGAHA,2033,201,150,15
TOTAL,80688,17151,12823,636
