VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ANAKAR,1283,1281,812,618,420,564,51,99
AURAHI,1853,1878,1183,918,508,729,162,231
BAGADA,1520,1360,674,470,835,881,11,9
BADIYA BANCHAURI,1463,1397,850,632,590,756,23,9
BAIRGIYA LAXMINIYA,809,958,411,416,349,451,49,91
BALAWA,1803,1787,1104,845,681,907,18,35
BANAULI DONAULI,940,882,700,558,229,297,11,27
BANOUTA,1403,1487,900,653,496,829,7,5
BARDIBAS,2321,2351,1764,1676,539,662,18,13
BASABITTI,1526,1577,654,462,833,1079,39,36
BATHANAHA,2061,1828,1083,904,962,903,16,21
BELGACHHI,1370,1398,879,800,484,586,7,12
BHARATPUR,2334,2328,1167,1032,885,942,282,354
BHATAULIYA,1027,975,623,504,375,450,29,21
BIJAYALPURA,1756,1891,1074,996,665,874,17,21
BRAMARPURA,1772,2060,1102,911,629,1099,41,50
DAMHIMARAYEE,2074,2057,1039,809,863,1045,172,203
DHAMAURA,3341,3525,1613,1298,1626,2105,102,122
DHARMAPUR,1199,1500,547,418,566,981,86,101
DHIRAPUR,2159,2141,1117,873,813,987,229,281
EKADARABELA,2529,2055,1043,735,1241,1097,245,223
EKARAHIYA,2170,2145,1482,1216,635,861,53,68
ETAHARWAKATTI,1387,1327,875,703,493,610,19,14
FULAHATTA PARIKAULI,1280,1247,726,600,426,511,128,136
FULAKAHA,1614,1603,779,589,821,977,14,37
GAIDHA BHETPUR,1164,1208,582,501,528,651,54,56
GAURIBAS,1043,1194,846,872,190,307,7,15
GAUSHALA,3906,3765,2322,1911,1508,1754,76,100
GONARPURA,1518,1462,981,767,509,669,28,26
HALKHORI,1281,1456,784,666,419,673,78,117
HARIHARPUR HARINAMARI,1413,1550,854,785,511,731,48,34
HATHILET,1031,1100,771,700,218,306,42,94
HATISARWA,1450,1555,870,719,513,741,67,95
JALESHWOR MUNICIPALITY,4904,4977,3220,2731,1399,1903,285,343
KHAIRBANNI,2108,1945,1202,866,813,952,93,127
KHAYAR MARA,1924,2003,1271,1260,642,734,11,9
KHOPI,1475,1619,872,762,429,543,174,314
KHUTTAPIPARADHI,2269,2362,1216,964,997,1343,56,55
KISAN NAGAR,1755,1810,1233,1107,402,542,120,161
KOLHUWA BAGAICHA,2029,1949,946,695,1072,1244,11,10
LAXIMINIYA,2489,2445,1592,1424,844,951,53,70
LOHARPATTI,1780,1924,1075,826,666,1032,39,66
MAHADAIYATAPANPUR,1233,1313,622,433,592,867,19,13
MAHOTTARI,2327,2207,1466,1124,817,1049,44,34
MAISTHAN,2014,2318,1563,1617,391,624,60,77
MAJHORA BISHNUPUR,1596,1493,898,711,682,766,16,16
MANARA,1421,1395,763,575,541,626,117,194
MATIHANI,2104,2023,976,780,1074,1193,54,50
MEGHANATH GORAHANNA,1240,1342,702,675,379,442,159,225
NAINHI,1848,1789,953,762,849,990,46,37
NIGAUL,1772,1896,855,726,851,1076,66,94
PARAUL,1490,1547,1047,857,429,674,14,16
PARSA DEWADH,2735,2763,902,693,1730,1973,103,97
PARSA PATELI,735,804,565,498,126,228,44,78
PASUPATINAGAR,1084,1091,753,707,318,378,13,6
PIGOUNA,718,809,544,436,123,223,51,150
PIPRA,1911,1883,1023,801,866,1032,22,50
POKHARIBHINDA SAMGRAMPUR,1219,1202,447,304,697,773,75,125
RAGHUNATHPUR,1441,1402,767,573,548,650,126,179
RAMGOPALPUR,2788,2826,1649,1375,833,1114,306,337
RAMNAGAR,1465,1552,982,927,458,589,25,36
RATAULI,1355,1188,644,456,496,563,215,169
SAHASAULA,1689,1770,858,712,800,1033,31,25
SAHORAWA,1187,1314,766,655,394,625,27,34
SANDHA,921,933,553,419,351,502,17,12
SARPALLO,2183,2278,1273,1064,815,1084,95,130
SHAMSI,2057,1911,754,572,1215,1223,88,116
SHREEPUR,2606,2595,1504,1250,1057,1299,45,46
SIMARDAHI,1145,1257,546,418,590,825,9,14
SINGYAHI,1883,1890,988,714,851,1127,44,49
SISAWAKATAIYA,1768,1837,816,666,608,706,344,465
SONAMA,2155,2018,1096,808,1046,1204,13,6
SONAMAI,1972,2063,1145,990,796,1043,31,30
SONAUL,904,946,402,374,499,570,3,2
SUGA VAWANI,1406,1252,768,587,411,456,227,209
SUNDARPUR,3071,3198,1401,1047,1430,1873,240,278
VAGAHA,2782,3142,1727,1592,976,1471,79,79
INSTITUTIONAL,450,30,32,11,350,18,68,1
