VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ANAKAR,981,6,2,0
AURAHI,1611,24,1,2
BAGADA,1159,1,1,5
BADIYA BANCHAURI,1172,4,0,2
BAIRGIYA LAXMINIYA,580,2,0,2
BALAWA,1486,9,1,0
BANAULI DONAULI,938,1,0,5
BANOUTA,1303,2,1,1
BARDIBAS,2265,433,4,8
BASABITTI,1032,4,0,0
BATHANAHA,1641,1,0,2
BELGACHHI,1085,0,0,72
BHARATPUR,1833,2,0,1
BHATAULIYA,835,1,0,9
BIJAYALPURA,1525,9,0,3
BRAMARPURA,1727,7,0,0
DAMHIMARAYEE,1717,3,1,2
DHAMAURA,2479,11,25,2
DHARMAPUR,1097,4,2,1
DHIRAPUR,1553,0,0,3
EKADARABELA,1600,5,0,0
EKARAHIYA,1793,1,1,1
ETAHARWAKATTI,1147,4,2,3
FULAHATTA PARIKAULI,1021,1,0,1
FULAKAHA,1184,1,0,2
GAIDHA BHETPUR,917,1,0,1
GAURIBAS,1445,25,6,11
GAUSHALA,2854,146,4,18
GONARPURA,1303,3,0,2
HALKHORI,1050,0,0,1
HARIHARPUR HARINAMARI,1282,1,0,0
HATHILET,1112,7,1,19
HATISARWA,1250,0,2,2
JALESHWOR MUNICIPALITY,3796,359,39,10
KHAIRBANNI,1480,1,2,3
KHAYAR MARA,1717,8,0,2
KHOPI,1404,2,3,0
KHUTTAPIPARADHI,1785,6,0,0
KISAN NAGAR,1499,2,0,6
KOLHUWA BAGAICHA,1303,1,1,3
LAXIMINIYA,1829,13,62,91
LOHARPATTI,1527,3,0,7
MAHADAIYATAPANPUR,1084,4,0,1
MAHOTTARI,1813,3,1,13
MAISTHAN,2115,45,0,5
MAJHORA BISHNUPUR,1192,2,3,2
MANARA,1147,5,1,2
MATIHANI,1490,4,7,9
MEGHANATH GORAHANNA,1047,0,1,0
NAINHI,1332,13,0,0
NIGAUL,1342,7,1,3
PARAUL,1155,7,0,1
PARSA DEWADH,1659,1,0,4
PARSA PATELI,707,2,0,0
PASUPATINAGAR,839,0,0,2
PIGOUNA,734,2,0,3
PIPRA,1624,2,0,9
POKHARIBHINDA SAMGRAMPUR,934,6,2,0
RAGHUNATHPUR,1007,1,1,4
RAMGOPALPUR,2007,40,6,2
RAMNAGAR,1305,10,0,28
RATAULI,992,0,0,1
SAHASAULA,1265,2,0,2
SAHORAWA,1120,2,0,0
SANDHA,800,1,0,0
SARPALLO,1773,11,4,1
SHAMSI,1268,3,1,1
SHREEPUR,2000,3,0,7
SIMARDAHI,956,2,1,2
SINGYAHI,1467,4,0,1
SISAWAKATAIYA,1275,15,0,0
SONAMA,1514,12,1,2
SONAMAI,1643,8,0,11
SONAUL,696,0,0,1
SUGA VAWANI,1024,0,1,0
SUNDARPUR,2287,9,7,10
VAGAHA,2368,5,17,9
TOTAL,109298,1345,216,439
