VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ANAKAR,154,815,379,416,35,7,1,19,630,4,58,591,11,1,20
AURAHI,461,1165,469,577,91,11,2,21,805,15,128,766,14,6,12
BAGADA,271,893,495,339,4,7,2,39,725,10,91,531,20,3,2
BADIYA BANCHAURI,264,913,246,496,9,14,3,3,551,2,80,705,7,4,1
BAIRGIYA LAXMINIYA,175,406,202,76,17,3,0,0,341,6,29,326,6,1,3
BALAWA,185,1308,697,718,167,13,2,11,860,12,131,1035,5,3,3
BANAULI DONAULI,164,769,347,382,116,10,1,9,526,12,97,539,2,6,11
BANOUTA,297,979,370,432,12,10,0,14,745,10,61,740,17,1,31
BARDIBAS,242,2446,1233,661,1247,182,37,249,2074,39,442,1075,47,223,22
BASABITTI,297,739,410,290,17,10,2,1,643,9,50,489,6,2,0
BATHANAHA,401,1223,571,431,28,25,6,27,970,14,116,656,2,4,20
BELGACHHI,255,900,464,230,1,4,0,9,302,8,75,794,3,0,2
BHARATPUR,435,1327,520,401,62,18,2,43,876,11,122,1056,25,8,74
BHATAULIYA,160,663,214,265,26,3,1,7,525,0,44,552,15,2,22
BIJAYALPURA,262,1252,527,411,79,15,1,18,1013,49,108,836,31,3,23
BRAMARPURA,199,1516,775,1159,65,35,2,63,1229,30,271,935,9,7,19
DAMHIMARAYEE,387,1317,759,595,9,16,1,3,693,8,93,786,0,3,19
DHAMAURA,674,1757,747,761,81,20,11,66,1012,32,177,1329,21,10,86
DHARMAPUR,352,737,183,326,47,1,0,18,541,0,55,372,6,4,15
DHIRAPUR,338,1205,234,503,84,18,1,25,881,9,140,947,11,12,13
EKADARABELA,424,1171,358,366,110,23,3,16,797,23,87,856,12,7,10
EKARAHIYA,345,1437,666,849,117,27,4,7,591,32,126,1197,2,20,14
ETAHARWAKATTI,244,864,302,367,116,9,1,3,611,95,142,630,7,10,48
FULAHATTA PARIKAULI,311,710,291,439,36,10,4,7,536,5,103,466,8,9,2
FULAKAHA,310,810,322,206,10,4,1,7,255,5,60,696,23,0,67
GAIDHA BHETPUR,279,619,254,191,48,4,0,7,284,3,56,493,5,2,21
GAURIBAS,209,1264,731,508,405,55,19,118,886,6,104,254,4,46,14
GAUSHALA,645,2355,1170,1222,206,42,14,101,1586,58,354,1620,25,39,22
GONARPURA,342,950,401,538,1,4,8,15,797,6,59,755,4,2,16
HALKHORI,134,901,307,359,20,10,3,12,816,26,63,719,10,4,16
HARIHARPUR HARINAMARI,345,938,520,356,51,16,1,3,751,3,87,502,51,2,0
HATHILET,224,898,469,391,52,12,1,27,673,6,59,608,18,5,17
HATISARWA,425,817,456,219,36,9,0,13,611,8,48,566,44,0,12
JALESHWOR MUNICIPALITY,474,3611,1607,2131,864,166,53,299,2606,114,563,2211,24,148,119
KHAIRBANNI,305,1123,455,222,20,7,0,10,793,5,88,885,107,0,58
KHAYAR MARA,433,1288,1025,227,28,3,1,29,692,19,47,343,2,0,6
KHOPI,470,937,458,305,29,7,0,2,502,9,49,681,34,2,2
KHUTTAPIPARADHI,177,1600,841,552,93,15,0,4,1127,59,162,1215,2,8,14
KISAN NAGAR,183,1317,804,529,59,18,2,21,1029,51,117,1054,6,4,7
KOLHUWA BAGAICHA,382,925,536,366,10,9,0,21,583,5,80,682,6,1,1
LAXIMINIYA,209,1702,895,661,4,19,1,30,922,18,155,1469,73,3,84
LOHARPATTI,391,1136,496,672,259,30,8,31,784,2,106,625,12,8,10
MAHADAIYATAPANPUR,181,908,540,523,29,12,0,11,722,11,58,711,12,5,0
MAHOTTARI,414,1405,423,774,59,14,5,17,879,16,143,899,6,16,11
MAISTHAN,455,1694,925,771,237,19,2,82,1021,7,118,1048,10,25,16
MAJHORA BISHNUPUR,296,869,306,399,1,8,1,31,458,11,70,715,18,2,34
MANARA,301,821,311,313,153,18,1,10,685,3,102,618,2,14,33
MATIHANI,342,1155,350,374,338,35,2,69,846,78,141,838,8,23,13
MEGHANATH GORAHANNA,243,723,318,283,84,5,0,33,422,25,52,531,19,2,82
NAINHI,478,854,330,310,26,9,0,19,567,6,57,633,3,5,13
