VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ANAKAR,3,239,10,703,0,32,2
AURAHI,184,310,7,1131,0,0,6
BAGADA,26,195,146,795,0,0,4
BADIYA BANCHAURI,11,324,1,838,1,1,2
BAIRGIYA LAXMINIYA,5,75,0,498,0,0,6
BALAWA,49,409,6,1026,3,0,3
BANAULI DONAULI,42,439,37,425,0,0,1
BANOUTA,93,318,0,883,2,1,10
BARDIBAS,13,1345,51,1245,1,23,32
BASABITTI,6,191,15,812,1,1,10
BATHANAHA,39,453,18,1116,1,1,16
BELGACHHI,4,64,206,863,0,0,20
BHARATPUR,11,222,26,1564,2,0,11
BHATAULIYA,6,188,5,611,1,29,5
BIJAYALPURA,20,165,25,1326,0,0,1
BRAMARPURA,45,711,36,926,0,3,13
DAMHIMARAYEE,19,406,72,1211,0,0,15
DHAMAURA,156,620,68,1649,4,3,17
DHARMAPUR,22,255,13,795,3,14,2
DHIRAPUR,170,569,21,784,3,0,9
EKADARABELA,108,404,11,1079,0,0,3
EKARAHIYA,64,635,7,1081,1,1,7
ETAHARWAKATTI,13,359,48,729,0,0,7
FULAHATTA PARIKAULI,48,343,3,605,0,0,24
FULAKAHA,3,106,97,967,1,0,13
GAIDHA BHETPUR,6,164,5,738,1,0,5
GAURIBAS,48,378,472,576,2,9,2
GAUSHALA,75,1005,201,1722,3,2,14
GONARPURA,7,358,7,934,2,0,0
HALKHORI,2,208,4,835,0,0,2
HARIHARPUR HARINAMARI,5,133,6,1132,0,0,7
HATHILET,6,176,18,922,2,4,11
HATISARWA,9,81,7,1129,0,19,9
JALESHWOR MUNICIPALITY,264,2220,76,1502,4,0,138
KHAIRBANNI,45,250,15,1141,0,0,35
KHAYAR MARA,14,76,595,1033,1,0,8
KHOPI,2,158,25,1214,5,0,5
KHUTTAPIPARADHI,20,423,82,1252,2,0,12
KISAN NAGAR,140,147,74,1134,2,0,10
KOLHUWA BAGAICHA,47,174,31,1050,2,0,4
LAXIMINIYA,26,238,39,1661,0,0,31
LOHARPATTI,16,409,2,1098,1,1,10
MAHADAIYATAPANPUR,15,296,8,767,0,0,3
MAHOTTARI,40,472,7,1304,0,1,6
MAISTHAN,20,165,120,1849,1,3,7
MAJHORA BISHNUPUR,48,357,5,751,3,20,15
MANARA,5,345,14,768,1,0,22
MATIHANI,148,721,4,621,2,11,3
MEGHANATH GORAHANNA,4,92,162,760,1,19,10
NAINHI,213,291,5,805,1,0,30
NIGAUL,113,383,6,845,0,1,5
PARAUL,52,290,13,806,0,0,2
PARSA DEWADH,8,209,9,1418,4,0,16
PARSA PATELI,71,286,5,323,18,4,2
PASUPATINAGAR,5,76,0,753,1,1,5
PIGOUNA,11,309,61,354,1,0,3
PIPRA,89,604,17,899,0,0,26
POKHARIBHINDA SAMGRAMPUR,13,167,13,743,1,0,5
RAGHUNATHPUR,5,174,81,739,0,0,14
RAMGOPALPUR,191,427,24,1390,6,1,16
RAMNAGAR,6,213,18,1103,1,1,1
RATAULI,34,321,24,605,0,0,9
SAHASAULA,15,239,176,822,1,0,16
SAHORAWA,24,399,9,687,0,0,3
SANDHA,10,168,5,602,0,11,5
SARPALLO,36,577,16,1128,7,1,24
SHAMSI,21,432,7,810,0,0,3
SHREEPUR,155,286,11,1541,2,9,6
SIMARDAHI,9,225,5,717,0,0,5
SINGYAHI,40,176,18,1216,3,1,18
SISAWAKATAIYA,7,424,17,830,0,3,9
SONAMA,10,291,14,1195,0,0,19
SONAMAI,32,243,11,1363,0,3,10
SONAUL,26,99,46,517,1,5,3
SUGA VAWANI,79,395,11,495,3,0,42
SUNDARPUR,45,413,75,1772,5,1,2
VAGAHA,83,330,10,1956,0,0,20
TOTAL,3575,26838,3615,75989,114,240,927
