VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AMBEGUDIN,196,170,252,7
ANGKHOP,121,96,233,1
CHAKSIBOTE,46,17,128,0
CHANGE,256,131,474,0
DHUNGESANGHU,197,83,459,7
DOKHU,169,209,529,2
DUMMRISE,87,70,167,0
EKHABU,111,3,281,1
HANGDEWA,124,399,227,3
HANGPANG,107,99,576,0
KALIKHOLA,65,3,50,0
KHAMLUNG,152,29,138,0
KHEJENIM,139,1,333,7
KHEWANG,79,65,380,2
KHOKLING,247,175,269,2
LELEP,173,12,320,6
LIMBUDIN,193,42,110,11
LINGTEP,147,1,184,0
LINKHIM,100,38,314,5
LIWANG,105,7,246,1
MAMANGKHE,95,7,138,0
MEHELE,44,71,348,0
NALBU,211,73,89,3
NANGKHOLYANG,268,39,497,5
NIDHURADIN,287,13,205,6
OLANGCHUNG GOLA,48,2,11,1
PAPUNG,168,6,139,3
PEDANG,111,2,226,5
PHAKUMBA,170,50,469,4
PHAWAKHOLA,55,26,178,1
PHULBARI,262,58,414,0
PHUNGLING,327,1315,1919,10
PHURUMBU,122,3,364,4
SADEWA,9,14,188,0
SANGHU,87,74,590,4
SANTHAKRA,147,168,215,3
SANWA,149,9,341,2
SAWANDIN,189,15,93,0
SABLAKHU,74,111,247,0
SIKAICHA,142,113,161,1
SINAM,90,187,181,3
SURUMKHIM,37,28,271,3
TAPETHOK,191,26,101,4
TELLOK,197,10,242,0
THECHAMBU,81,317,304,0
THINGLABU,224,29,228,10
THUKIMMA,175,25,326,1
THUMBEDIN,20,270,162,2
TIRINGE,84,45,225,0
YAMFUDIN,43,7,114,1
TOTAL,6921,4763,14656,131
