VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AMBEGUDIN,546,40,0,39
ANGKHOP,395,18,0,38
CHAKSIBOTE,179,9,1,2
CHANGE,681,74,0,106
DHUNGESANGHU,612,58,6,70
DOKHU,661,191,3,54
DUMMRISE,274,18,1,31
EKHABU,360,33,0,3
HANGDEWA,621,110,11,11
HANGPANG,660,37,1,84
KALIKHOLA,95,9,0,14
KHAMLUNG,228,64,0,27
KHEJENIM,418,60,1,1
KHEWANG,490,10,1,25
KHOKLING,579,39,4,71
LELEP,446,48,2,15
LIMBUDIN,316,18,1,21
LINGTEP,298,32,0,2
LINKHIM,401,47,6,3
LIWANG,331,4,0,24
MAMANGKHE,201,8,1,30
MEHELE,405,24,1,33
NALBU,335,17,1,23
NANGKHOLYANG,721,21,0,67
NIDHURADIN,417,81,2,11
OLANGCHUNG GOLA,31,30,0,1
PAPUNG,292,16,4,4
PEDANG,328,12,0,4
PHAKUMBA,591,14,5,83
PHAWAKHOLA,234,6,0,20
PHULBARI,518,31,1,184
PHUNGLING,1991,1365,67,148
PHURUMBU,439,51,1,2
SADEWA,196,13,0,2
SANGHU,636,61,2,56
SANTHAKRA,435,12,0,86
SANWA,479,0,0,22
SAWANDIN,271,19,0,7
SABLAKHU,396,8,0,28
SIKAICHA,353,31,0,33
SINAM,338,38,2,83
SURUMKHIM,295,26,0,18
TAPETHOK,270,48,2,2
TELLOK,393,21,0,35
THECHAMBU,585,66,2,49
THINGLABU,440,23,2,26
THUKIMMA,481,31,0,15
THUMBEDIN,404,11,0,39
TIRINGE,326,27,0,1
YAMFUDIN,141,22,2,0
TOTAL,21533,3052,133,1753
