VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AMBEGUDIN,106,271,0,239,2,7
ANGKHOP,2,223,0,202,23,1
CHAKSIBOTE,1,155,0,35,0,0
CHANGE,465,363,0,33,0,0
DHUNGESANGHU,583,127,0,29,0,7
DOKHU,65,481,1,317,43,2
DUMMRISE,0,206,0,104,14,0
EKHABU,0,245,0,150,0,1
HANGDEWA,52,362,1,335,0,3
HANGPANG,596,175,0,8,3,0
KALIKHOLA,66,26,0,25,1,0
KHAMLUNG,60,176,0,82,1,0
KHEJENIM,2,408,2,60,1,7
KHEWANG,5,291,0,222,6,2
KHOKLING,3,458,2,210,18,2
LELEP,81,86,0,336,2,6
LIMBUDIN,0,211,1,131,2,11
LINGTEP,127,153,0,52,0,0
LINKHIM,336,95,0,18,3,5
LIWANG,30,248,0,80,0,1
MAMANGKHE,96,61,0,83,0,0
MEHELE,5,220,0,235,3,0
NALBU,187,123,0,59,4,3
NANGKHOLYANG,38,271,0,470,25,5
NIDHURADIN,0,313,0,180,12,6
OLANGCHUNG GOLA,50,0,0,11,0,1
PAPUNG,32,123,0,158,0,3
PEDANG,0,184,0,155,0,5
PHAKUMBA,4,361,0,307,17,4
PHAWAKHOLA,2,182,1,74,0,1
PHULBARI,3,383,1,326,21,0
PHUNGLING,1701,1318,3,472,67,10
PHURUMBU,248,164,2,74,2,3
SADEWA,45,142,0,22,2,0
SANGHU,621,103,0,27,0,4
SANTHAKRA,2,405,4,117,2,3
SANWA,455,6,0,38,0,2
SAWANDIN,16,61,0,216,4,0
SABLAKHU,0,260,0,171,1,0
SIKAICHA,121,234,8,42,11,1
SINAM,2,247,0,206,3,3
SURUMKHIM,9,200,1,126,0,3
TAPETHOK,80,41,0,175,22,4
TELLOK,1,214,0,234,0,0
THECHAMBU,2,334,1,347,18,0
THINGLABU,7,394,0,80,0,10
THUKIMMA,2,427,0,94,2,2
THUMBEDIN,1,254,0,181,16,2
TIRINGE,275,66,0,9,4,0
YAMFUDIN,50,47,0,67,0,1
TOTAL,6635,11898,28,7424,355,131
