VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AINSELUKHARKA,36,461,3,143,4,5
ARKHAULE,395,208,3,35,19,2
BADAHARE,5,63,7,167,64,12
BADAKA DIYALE,124,115,0,231,37,1
BAHUNIDANDA,80,164,7,210,60,3
BAKACHOL,33,386,2,111,90,1
BAKSILA,1,423,2,263,43,5
BAMRANG,568,77,0,0,3,0
BARAHAPOKHARI,91,207,1,150,265,2
BASPANI,0,176,0,131,47,1
BATASE,105,198,7,158,325,4
BIJAYA KHARKA,495,17,3,0,3,2
BUIPA,881,91,0,1,0,11
CHHITAPOKHARI,54,115,0,91,121,0
CHHORAMBU,3,148,2,270,53,3
CHIPRING,156,33,0,46,4,0
CHISAPANI,98,366,1,311,128,7
CHYANDADA,2,258,4,280,41,4
CHYASMITAR,1,14,1,200,331,1
DAMARKHUSHIVALAYA,5,295,1,160,92,3
DANDAGAUN,71,96,0,352,14,4
DEVISTHAN,1,14,0,345,56,0
DHITUNG,95,92,0,221,127,0
DIKTEL,1841,72,14,1,3,36
DIKUWA,0,95,0,203,149,1
DIPLUNG,116,21,0,281,2,4
DORPACHIURIDADA,911,193,3,32,5,5
DUBEKOLDADA,53,83,1,126,81,1
DUMRE DHARAPANI,2,166,2,152,220,1
DURCHHIM,1,183,0,341,189,0
FAKTANG,0,48,0,281,98,1
HAUNCHUR,32,124,3,297,35,1
INDRANIPOKHARI,210,288,1,103,0,1
JALAPA,445,104,3,10,6,5
JYAMIRE,0,37,0,90,152,1
KAHULE,2,219,1,122,15,3
KHALLE,606,36,2,2,1,1
KHARMI,57,415,3,134,142,0
KHARPA,167,46,0,43,170,4
KHARTANCHHA,8,119,1,173,135,3
KHIDIMA,83,218,0,109,0,1
KHOTANGBAZAR,179,39,0,124,109,1
KUVINDE,0,157,0,208,54,1
LAFYANG,522,61,4,7,1,0
LAMIDADA,449,43,0,15,56,0
LICHKIRAMCHE,374,200,6,66,57,0
LINKUWAPOKHARI,87,60,1,216,92,5
MAGPA,93,145,4,162,31,1
MAHADEVASTHAN,373,75,0,77,57,1
MANGALTAR,1,44,0,209,183,3
MATTIM BIRTA,351,126,1,159,216,4
MAUWABOTE,1,75,0,107,92,1
NERPA,594,50,0,0,2,0
NIRMALIDADA,0,226,1,144,21,1
NUNTHALA,336,41,0,1,1,1
PATHEKA,7,387,6,283,113,0
PAUWASERA,1,126,0,258,8,5
PHEDI,1,272,4,238,163,2
R.MAHESWORI,107,149,8,102,118,0
RAJAPANI,499,68,0,37,101,2
RAKHA BANGDEL,50,277,4,157,60,0
RAKHA DIPSUNG,1,168,0,6,0,4
RATANCHHA,34,223,2,187,101,4
JALESWORI,24,305,3,84,52,0
SA.CHHITAPOKHARI,64,188,3,236,73,0
SALLE,233,51,0,65,10,0
SAPTESWOR,247,192,2,4,2,0
SAUNECHAUR,29,46,7,143,218,15
SAWAKATAHARE,0,271,2,78,227,2
SIMPANI,417,182,0,63,4,0
SUNGDEL,1,348,1,76,84,0
SUNTALE,2,92,1,151,178,2
TEMMA,71,282,2,241,172,9
WOPLUKHA,262,83,2,135,5,4
WOPUNG,14,295,0,147,46,4
YAMKHA,2,113,2,166,321,1
TOTAL,13260,11944,144,10728,6358,213
