VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AINSELUKHARKA,150,154,343,5
ARKHAULE,338,114,208,2
BADAHARE,55,27,224,12
BADAKA DIYALE,261,9,237,1
BAHUNIDANDA,322,49,150,3
BAKACHOL,181,101,340,1
BAKSILA,233,26,473,5
BAMRANG,165,137,346,0
BARAHAPOKHARI,584,21,109,2
BASPANI,95,6,253,1
BATASE,477,40,276,4
BIJAYA KHARKA,92,50,376,2
BUIPA,229,268,477,10
CHHITAPOKHARI,66,100,215,0
CHHORAMBU,128,34,314,3
CHIPRING,119,38,82,0
CHISAPANI,504,68,332,7
CHYANDADA,51,129,405,4
CHYASMITAR,395,20,131,2
DAMARKHUSHIVALAYA,376,23,154,3
DANDAGAUN,220,73,240,4
DEVISTHAN,257,23,136,0
DHITUNG,380,9,146,0
DIKTEL,36,1016,880,35
DIKUWA,384,10,53,1
DIPLUNG,294,1,125,4
DORPACHIURIDADA,400,113,631,5
DUBEKOLDADA,116,53,175,1
DUMRE DHARAPANI,245,20,277,1
DURCHHIM,379,54,281,0
FAKTANG,242,69,116,1
HAUNCHUR,101,56,334,1
INDRANIPOKHARI,359,107,136,1
JALAPA,76,17,475,5
JYAMIRE,119,31,129,1
KAHULE,190,4,165,3
KHALLE,284,69,294,1
KHARMI,117,80,554,0
KHARPA,128,125,173,4
KHARTANCHHA,106,47,283,3
KHIDIMA,69,138,203,1
KHOTANGBAZAR,72,122,257,1
KUVINDE,129,30,260,1
LAFYANG,95,360,140,0
LAMIDADA,185,167,211,0
LICHKIRAMCHE,441,50,212,0
LINKUWAPOKHARI,283,9,164,5
MAGPA,78,39,318,1
MAHADEVASTHAN,260,59,263,1
MANGALTAR,161,53,223,3
MATTIM BIRTA,112,315,426,4
MAUWABOTE,191,4,80,1
NERPA,115,282,249,0
NIRMALIDADA,40,74,278,1
NUNTHALA,170,157,52,1
PATHEKA,108,107,581,0
PAUWASERA,291,1,101,5
PHEDI,130,42,506,2
R.MAHESWORI,72,54,358,0
RAJAPANI,427,26,252,2
RAKHA BANGDEL,108,114,326,0
RAKHA DIPSUNG,121,0,54,4
RATANCHHA,18,298,231,4
JALESWORI,185,78,205,0
SA.CHHITAPOKHARI,163,13,388,0
SALLE,157,16,186,0
SAPTESWOR,165,11,271,0
SAUNECHAUR,241,47,155,15
SAWAKATAHARE,292,21,265,2
SIMPANI,302,45,319,0
SUNGDEL,136,8,366,0
SUNTALE,265,81,78,2
TEMMA,154,43,571,9
WOPLUKHA,98,28,361,4
WOPUNG,377,22,103,4
YAMKHA,165,78,361,1
TOTAL,15630,6383,20422,212
