VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AMCHOK,285,698,5,0,1,0,0,2
BAJHO,320,1571,8,9,8,0,29,32
BARBOTE,117,1201,9,74,0,0,8,5
CHAMAITA,119,1029,8,6,1,0,61,6
CHISAPANI,149,1031,8,4,1,0,2,9
CHULACHULI,826,2993,13,5,40,0,5,23
DANABARI,519,2507,25,27,35,0,3,21
DHUSENI,228,667,2,3,0,0,0,8
EBHANG,376,662,6,4,1,0,0,12
EKTAPPA,315,711,2,0,0,0,1,7
ERAUTAR,79,846,9,6,1,0,9,6
GAJURMUKHI,210,453,13,9,2,0,0,4
GODAK,133,946,9,39,3,0,3,4
GORKHE,23,1030,19,19,5,0,21,5
ILAM MUNICIPALITY,263,3284,19,1010,11,0,18,127
JAMUNA,34,656,1,1,5,0,75,5
JIRMALE,112,929,7,1,1,2,7,10
JITPUR,285,1126,3,15,1,0,4,6
JOGMAI,69,635,12,1,0,0,2,7
KANYAM,46,1582,5,58,6,1,15,2
KOLBUNG,84,995,10,20,6,2,6,11
LAXMIPUR,310,1676,7,16,4,0,15,7
LUMDE,153,385,1,1,0,0,0,4
MABU,45,634,11,1,16,0,27,0
MAHAMAI,561,1570,49,0,9,0,0,13
MAIMAJHUWA,24,635,2,1,1,0,94,1
MAIPOKHARI,56,735,9,5,2,0,110,14
MANGALBARE,97,1338,10,34,2,1,20,4
NAMSALING,221,1055,8,2,2,0,1,10
NAYA BAZAR,121,959,3,4,0,0,1,2
PANCHAKANYA,144,1661,15,64,8,0,5,14
PASUPATI NAGAR,25,1650,16,260,7,0,2,20
PHAKPHOK,245,768,6,5,0,0,1,8
PHIKAL BAZAR,31,2340,19,248,27,0,3,23
PHUYATAPPA,228,599,0,1,2,0,3,7
PUWAMAJHUWA,70,536,3,0,0,0,19,6
PYANG,77,505,4,1,0,0,17,0
SAKFARA,112,619,1,2,2,0,4,4
SAKHEJUNG,113,788,0,19,1,0,7,4
SAMALBUNG,57,1021,3,3,0,0,11,4
SANGRUMBA,188,997,7,2,2,0,4,10
SHANTI DANDA,92,994,4,6,0,0,2,3
SHANTIPUR,257,921,2,2,3,0,0,7
SHREE ANTU,30,1015,5,27,1,0,7,1
SIDDHITHUMKA,109,638,12,3,2,0,3,11
SOYAK,110,600,10,3,1,0,2,1
SOYANG,163,836,5,1,1,0,56,2
SULUBUNG,65,681,1,0,0,0,42,10
SUMBEK,73,513,0,0,1,0,0,4
TOTAL,8369,52221,406,2022,222,6,725,506
