VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AMCHOK,932,2,1,15,40,1
BAJHO,323,22,3,1589,12,28
BARBOTE,1058,107,74,34,137,4
CHAMAITA,1103,29,9,51,33,5
CHISAPANI,233,24,15,894,31,7
CHULACHULI,91,135,49,3460,152,18
DANABARI,66,84,56,2866,47,18
DHUSENI,815,1,4,40,40,8
EBHANG,884,3,1,150,11,12
EKTAPPA,970,14,1,21,23,7
ERAUTAR,366,49,14,519,5,3
GAJURMUKHI,568,17,1,89,12,4
GODAK,653,65,64,146,205,4
GORKHE,874,81,24,136,2,5
ILAM MUNICIPALITY,2387,1171,525,241,295,113
JAMUNA,653,7,1,72,42,2
JIRMALE,621,97,5,319,18,9
JITPUR,1103,49,7,145,131,5
JOGMAI,626,20,2,73,0,5
KANYAM,1280,237,20,117,60,1
KOLBUNG,474,119,16,502,13,10
LAXMIPUR,994,145,14,824,52,6
LUMDE,504,0,3,11,22,4
MABU,649,20,1,61,3,0
MAHAMAI,6,3,5,2172,8,8
MAIMAJHUWA,644,6,0,105,2,1
MAIPOKHARI,749,19,3,139,10,11
MANGALBARE,1227,135,52,36,52,4
NAMSALING,1095,15,1,22,157,9
NAYA BAZAR,948,16,1,123,0,2
PANCHAKANYA,1293,262,14,147,183,12
PASUPATI NAGAR,1190,373,183,216,1,17
PHAKPHOK,938,48,3,26,11,7
PHIKAL BAZAR,1611,438,188,395,36,23
PHUYATAPPA,773,8,1,26,26,6
PUWAMAJHUWA,542,5,1,79,1,6
PYANG,524,2,0,75,3,0
SAKFARA,253,38,5,440,4,4
SAKHEJUNG,782,30,15,97,4,4
SAMALBUNG,955,38,5,57,40,4
SANGRUMBA,1033,14,4,76,77,6
SHANTI DANDA,1038,19,1,25,17,1
SHANTIPUR,245,46,10,870,15,6
SHREE ANTU,856,90,20,112,7,1
SIDDHITHUMKA,555,9,2,200,7,5
SOYAK,401,23,4,288,10,1
SOYANG,968,0,2,40,52,2
SULUBUNG,691,8,1,82,8,9
SUMBEK,529,6,0,32,22,2
TOTAL,38073,4149,1431,18255,2139,430
