VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AMCHOK,952,21,1,17
BAJHO,1272,161,28,516
BARBOTE,1161,235,3,15
CHAMAITA,1068,125,0,37
CHISAPANI,1148,27,7,22
CHULACHULI,3804,39,3,59
DANABARI,2997,119,5,16
DHUSENI,876,12,0,20
EBHANG,999,6,0,56
EKTAPPA,1008,17,0,11
ERAUTAR,936,4,1,15
GAJURMUKHI,644,30,2,15
GODAK,1048,58,0,31
GORKHE,1029,79,3,11
ILAM MUNICIPALITY,2996,1399,189,148
JAMUNA,743,24,1,9
JIRMALE,1046,10,2,11
JITPUR,1319,51,3,67
JOGMAI,701,19,2,4
KANYAM,1532,62,86,35
KOLBUNG,1057,64,4,9
LAXMIPUR,1951,68,1,15
LUMDE,503,24,4,13
MABU,675,40,1,18
MAHAMAI,2152,23,1,26
MAIMAJHUWA,725,26,0,7
MAIPOKHARI,870,52,1,8
MANGALBARE,1320,169,4,13
NAMSALING,1229,34,3,33
NAYA BAZAR,1001,82,3,4
PANCHAKANYA,1767,111,11,22
PASUPATI NAGAR,1594,350,26,10
PHAKPHOK,963,57,2,11
PHIKAL BAZAR,2202,428,33,28
PHUYATAPPA,812,13,0,15
PUWAMAJHUWA,586,17,1,30
PYANG,586,17,1,0
SAKFARA,700,24,0,20
SAKHEJUNG,779,130,6,17
SAMALBUNG,1073,17,1,8
SANGRUMBA,1163,20,1,26
SHANTI DANDA,1044,44,0,13
SHANTIPUR,1159,11,2,20
SHREE ANTU,1020,29,22,15
SIDDHITHUMKA,739,29,0,10
SOYAK,695,13,0,19
SOYANG,1018,29,0,17
SULUBUNG,753,41,3,2
SUMBEK,560,20,0,11
TOTAL,57975,4480,467,1555
