VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ANBUKHAIRENI,3865,32,10,10,63,32,8,14
ARUNODAYA,709,1,33,35,302,0,0,18
BAIDI,725,2,23,83,5,3,0,3
BANDIPUR,2681,1,16,191,132,12,1,22
BARBHANJYANG,826,0,79,284,166,0,0,10
BASANTAPUR,417,1,151,257,29,6,0,7
BHANU,2793,67,295,196,79,40,3,3
BHANUMATI,750,3,10,81,299,0,0,4
BHIMAD,1772,1,65,168,160,7,1,17
BHIRKOT,468,1,231,424,15,2,1,4
BYAS MUNICIPALITY,8969,25,639,1233,356,28,19,52
CHHANG,1117,3,99,151,118,3,0,8
CHHIMKESHWORI,274,0,1,27,8,46,0,0
CHHIPCHHIPE,323,1,0,14,55,0,0,3
CHOK CHISAPANI,911,1,13,68,25,5,0,5
DEURALI,437,0,3,57,17,7,0,0
DEVGHAT,1745,0,21,54,42,26,6,3
DHARAMPANI,666,0,5,41,8,1,1,2
DHORFIRDI,2686,1,52,212,31,16,2,5
DULEGAUNDA,3772,3,23,69,91,6,16,12
FIRFIRE,598,1,12,131,28,1,0,5
GAJARKOT,1043,3,102,91,52,1,0,7
GHANSIKUWA,1206,5,306,290,107,19,0,9
JAMUNE BHANJYANG,1530,10,127,439,215,76,3,8
KAHU SHIVAPUR,723,1,261,330,30,0,2,6
KESHAVTAR,683,10,58,230,159,19,0,12
KHAIRENITAR,2466,4,10,80,111,2,4,2
KIHUN,595,1,57,44,214,0,0,6
KOTA,601,0,2,17,6,23,0,10
KOTDARBAR,597,1,145,264,86,2,0,4
KYAMIN,1230,1,69,50,19,5,0,3
MAJHAKOT,667,1,104,619,88,2,1,40
MANPANG,1099,4,104,389,119,0,1,5
POKHARI BHANJYANG,800,0,52,115,1,3,1,7
PURKOT,941,11,97,280,547,1,0,17
RAIPUR,810,0,5,112,37,1,1,4
RAMJAKOT,380,1,80,287,155,5,3,2
RANIPOKHARI (RESING),716,2,27,63,47,2,0,4
RISTI,479,0,0,13,3,2,0,10
RUPAKOT,783,4,25,69,230,4,0,10
SATISWARA,791,0,45,180,3,1,0,24
SHAMUNG BHAGAWATIPUR,425,2,276,778,18,0,0,4
SHYMGHA,1163,1,19,48,19,3,0,10
SUNDHARA (GHIRING),940,2,31,301,143,1,2,10
TANAHUNSUR,597,0,8,83,23,6,2,5
THAPREK,272,1,354,63,73,0,0,0
MIRLUNG,647,2,181,163,411,7,0,12
TOTAL,58688,211,4326,9184,4945,426,78,428
