VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ANBUKHAIRENI,1805,2115,40,29,1,12,32
ARUNODAYA,1043,26,3,5,0,0,21
BAIDI,794,1,40,6,0,0,3
BANDIPUR,2206,725,57,33,1,4,30
BARBHANJYANG,1163,163,14,10,0,0,15
BASANTAPUR,727,110,4,11,0,0,16
BHANU,2431,836,122,69,1,7,10
BHANUMATI,1054,79,1,7,2,0,4
BHIMAD,808,1350,7,5,2,0,19
BHIRKOT,1065,13,47,16,0,0,5
BYAS MUNICIPALITY,3300,7536,75,246,25,22,117
CHHANG,1000,460,3,22,2,1,11
CHHIMKESHWORI,319,5,28,1,0,3,0
CHHIPCHHIPE,339,5,22,25,0,1,4
CHOK CHISAPANI,896,75,6,44,1,0,6
DEURALI,507,2,5,5,0,1,1
DEVGHAT,450,717,668,12,0,44,6
DHARAMPANI,633,21,47,22,0,0,1
DHORFIRDI,1731,1097,6,21,36,106,8
DULEGAUNDA,779,3037,20,54,0,85,17
FIRFIRE,694,67,6,1,0,0,8
GAJARKOT,1096,95,49,50,0,0,9
GHANSIKUWA,1477,339,62,46,5,2,11
JAMUNE BHANJYANG,1916,415,11,26,1,18,21
KAHU SHIVAPUR,1158,180,6,2,0,0,7
KESHAVTAR,1064,32,21,39,0,0,15
KHAIRENITAR,1075,1572,7,11,0,5,9
KIHUN,811,32,2,66,0,0,6
KOTA,297,29,313,2,1,3,14
KOTDARBAR,1062,11,10,9,0,0,7
KYAMIN,1104,230,7,25,0,6,5
MAJHAKOT,1413,61,2,5,0,3,38
MANPANG,1511,174,0,16,0,17,3
POKHARI BHANJYANG,789,153,15,11,0,4,7
PURKOT,1461,334,9,68,0,2,20
RAIPUR,927,29,2,6,0,0,6
RAMJAKOT,806,25,45,35,0,0,2
RANIPOKHARI (RESING),733,111,6,4,1,2,4
RISTI,446,37,5,9,0,0,10
RUPAKOT,926,182,1,0,0,1,15
SATISWARA,932,54,19,8,0,0,31
SHAMUNG BHAGAWATIPUR,1435,19,28,17,0,0,4
SHYMGHA,1096,131,9,13,1,0,13
SUNDHARA (GHIRING),1306,24,16,74,0,2,8
TANAHUNSUR,692,16,7,1,0,1,7
THAPREK,662,94,1,4,0,0,2
MIRLUNG,1256,144,4,4,1,0,14
TOTAL,51195,22963,1878,1195,81,352,622
