VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ANBUKHAIRENI,1971,896,1069,63,6,29
ARUNODAYA,1060,11,2,5,0,20
BAIDI,814,2,0,26,0,2
BANDIPUR,2351,396,222,56,2,29
BARBHANJYANG,1232,61,41,16,0,15
BASANTAPUR,811,27,1,16,0,13
BHANU,2672,465,168,161,2,8
BHANUMATI,1069,59,4,11,1,3
BHIMAD,839,1047,273,12,1,19
BHIRKOT,1028,4,1,109,0,4
BYAS MUNICIPALITY,3855,3216,3755,391,11,93
CHHANG,1181,139,147,20,2,10
CHHIMKESHWORI,290,4,0,62,0,0
CHHIPCHHIPE,351,4,1,35,1,4
CHOK CHISAPANI,962,6,8,44,2,6
DEURALI,508,1,0,10,1,1
DEVGHAT,546,626,54,652,15,4
DHARAMPANI,634,2,0,87,0,1
DHORFIRDI,1890,529,509,23,47,7
DULEGAUNDA,1045,2031,820,36,43,17
FIRFIRE,719,33,13,4,0,7
GAJARKOT,1075,51,14,150,0,9
GHANSIKUWA,1629,140,62,95,6,10
JAMUNE BHANJYANG,1972,226,159,19,13,19
KAHU SHIVAPUR,1168,133,34,10,1,7
KESHAVTAR,1068,25,2,60,2,14
KHAIRENITAR,1192,547,924,6,1,9
KIHUN,825,3,4,79,0,6
KOTA,278,28,1,338,0,14
KOTDARBAR,1072,3,2,15,0,7
KYAMIN,1231,64,46,31,1,4
MAJHAKOT,1428,33,19,1,3,38
MANPANG,1557,49,87,17,8,3
POKHARI BHANJYANG,804,141,0,22,5,7
PURKOT,1627,143,58,43,3,20
RAIPUR,933,16,10,5,0,6
RAMJAKOT,786,5,3,117,0,2
RANIPOKHARI (RESING),735,99,10,13,0,4
RISTI,483,0,2,12,0,10
RUPAKOT,974,131,4,1,1,14
SATISWARA,951,15,20,26,2,30
SHAMUNG BHAGAWATIPUR,1446,8,3,41,1,4
SHYMGHA,1108,92,26,23,1,13
SUNDHARA (GHIRING),1298,9,8,106,1,8
TANAHUNSUR,704,5,0,8,0,7
THAPREK,728,19,6,8,0,2
MIRLUNG,1393,9,4,4,0,13
TOTAL,54293,11553,8596,3089,183,572
