VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BARAI,209,2,0,2
BARGAUN,154,0,2,13
CHHIPRA,207,1,2,4
DANDAFAYA,351,4,7,6
DARMA,370,7,2,7
GOTHI,191,0,0,0
HEPKA,198,5,1,0
JAIR,379,0,3,2
KALIKA,519,3,0,11
KHAGALGAUN,211,2,1,5
KHARPUNATH,257,1,0,7
LALI,295,3,4,3
LIMI,180,0,0,1
MADANA,279,6,0,0
MAILA,721,6,2,12
MELCHHAM,157,2,3,1
MIMI,191,1,0,1
MUCHU,205,1,14,11
RAYA,336,6,0,6
RODIKOT,450,2,2,5
SARKEEDEU,379,0,15,2
SAYA,183,4,2,0
SHREE NAGAR,578,2,4,4
SHREEMASTHA,173,2,0,8
SIMIKOT,652,463,132,2
SYADA,324,0,1,12
THEHE,425,3,0,15
TOTAL,8574,526,197,140
