VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AALAPOT,471,161,36,1,1,1
BAAD BHANJYANG,528,221,51,7,3,7
BAJRAYOGINI (SANKHU),766,59,93,3,0,7
BALAMBU,506,619,582,2,0,25
BALUWA,753,266,138,16,2,29
BHADRABAS,296,102,101,2,1,1
BHIMDHUNGA,517,58,37,4,1,2
BUDANILKANTHA,740,1856,1074,5,10,40
CHALNAKHEL,704,258,14,14,2,13
CHAPALI BHADRAKALI,645,788,1091,18,0,32
CHHAIMALE,924,19,16,2,1,6
DAHACHOK,583,170,120,2,0,3
CHUNIKHEL,452,245,140,8,10,4
DAANCHHI,1021,1348,158,18,10,38
DAXINKALI,729,146,97,0,0,12
DHAPASI,428,3299,4219,73,8,175
DHARMASTHALI,809,243,293,61,12,3
FUTUNG,465,375,209,2,7,6
GAGALPHEDI,802,303,46,8,1,6
GOKARNESWOR,441,757,505,27,12,26
GOLDHUNGA,1076,1206,1386,46,19,73
GONGGABU,720,5566,7930,47,6,187
GOTHATAR,959,2349,3216,73,24,128
ICHANG NARAYAN,907,1792,3435,16,9,129
INDRAYANI,458,192,48,11,0,8
JHOR MAHANKAL,678,83,102,7,2,1
JITPURPHEDI,836,197,46,21,0,3
JORPATI,1068,10329,9431,179,85,770
KABHRESTHALI,711,116,160,13,0,7
KAPAN,555,4464,6933,70,18,284
KATHMANDU METROPOLITAN CITY,37941,100716,106607,1368,781,6879
KHADKA BHADRAKALI,381,938,1194,8,15,46
KIRTIPUR MUNICIPALITY,5589,7711,5695,51,61,334
LAPSIPHEDI,1135,46,8,10,1,9
MACHHEGAUN,461,322,81,0,1,7
MAHADEVATHAN,826,1456,1148,7,4,290
MAHANKAL,323,1430,2548,70,1,49
MANMAIJU,723,3384,6628,30,13,171
MATATIRTHA,489,549,337,13,1,24
MULPANI,591,1296,705,14,12,29
NAGLEBHARE,918,5,6,2,0,4
NAIKAP NAYA BHANJYANG,344,983,615,2,4,32
NAIKAP PURANO BHANJYANG,589,431,23,5,1,5
NAYAPATI,685,691,291,27,13,18
PUKHULACHHI,396,80,108,1,0,11
RAMKOT,996,576,317,9,1,38
SANGLA,615,58,113,20,0,2
SETIDEVI,774,212,30,11,8,4
SATUNGAL,507,1268,925,4,1,21
SEUCHATAR,795,1270,1266,7,5,35
SHESHNARAYAN,487,201,89,6,3,58
SITAPAILA,623,1687,2119,9,10,76
SUNDARIJAL,457,82,1,4,0,3
SUNTOL,846,111,58,1,2,3
TALKUDUDECHOUR,606,18,20,1,1,2
THANKOT,1192,976,529,18,4,101
TINTHANA,464,1090,876,8,3,66
TOKHA CHANDESWORI,318,240,276,3,0,4
TOKHA SARSWOTI,192,263,596,57,53,28
TOTAL,80811,165677,174916,2522,1243,10375
