VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AALAPOT,65,233,373,0
BAAD BHANJYANG,135,548,128,6
BAJRAYOGINI (SANKHU),292,399,233,4
BALAMBU,19,1614,95,6
BALUWA,114,632,446,12
BHADRABAS,30,206,267,0
BHIMDHUNGA,28,283,306,2
BUDANILKANTHA,55,2826,827,17
CHALNAKHEL,63,731,202,9
CHAPALI BHADRAKALI,34,1263,1263,14
CHHAIMALE,402,380,182,4
DAHACHOK,106,421,351,0
CHUNIKHEL,99,424,332,4
DAANCHHI,80,953,1535,25
DAXINKALI,35,880,63,6
DHAPASI,9,7519,625,49
DHARMASTHALI,64,949,404,4
FUTUNG,29,942,92,1
GAGALPHEDI,109,661,391,5
GOKARNESWOR,11,998,751,8
GOLDHUNGA,72,3470,229,35
GONGGABU,15,13839,526,76
GOTHATAR,16,6367,307,59
ICHANG NARAYAN,83,5589,557,59
INDRAYANI,36,341,333,7
JHOR MAHANKAL,114,491,268,0
JITPURPHEDI,92,722,286,3
JORPATI,17,20258,1312,275
KABHRESTHALI,59,758,185,5
KAPAN,7,11421,816,80
KATHMANDU METROPOLITAN CITY,545,234299,17274,2174
KHADKA BHADRAKALI,11,2268,289,14
KIRTIPUR MUNICIPALITY,92,17758,1468,123
LAPSIPHEDI,670,319,209,11
MACHHEGAUN,8,798,63,3
MAHADEVATHAN,6,2974,725,26
MAHANKAL,14,3848,528,31
MANMAIJU,3,10576,293,77
MATATIRTHA,35,1095,269,14
MULPANI,27,1207,1400,13
NAGLEBHARE,30,850,51,4
NAIKAP NAYA BHANJYANG,10,1740,220,10
NAIKAP PURANO BHANJYANG,2,837,209,6
NAYAPATI,40,871,812,2
PUKHULACHHI,44,434,115,3
RAMKOT,60,1375,497,5
SANGLA,150,341,316,1
SETIDEVI,81,720,234,4
SATUNGAL,4,2347,365,10
SEUCHATAR,5,3108,249,16
SHESHNARAYAN,46,677,107,14
SITAPAILA,53,4160,281,30
SUNDARIJAL,186,216,144,1
SUNTOL,256,564,197,4
TALKUDUDECHOUR,193,255,199,1
THANKOT,93,2215,455,57
TINTHANA,18,2251,212,26
TOKHA CHANDESWORI,56,511,270,4
TOKHA SARSWOTI,6,1010,165,8
TOTAL,5034,385742,41301,3467
