VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AALAPOT,659,10,2,0,0,0
BAAD BHANJYANG,772,35,2,1,1,6
BAJRAYOGINI (SANKHU),889,23,4,7,1,4
BALAMBU,1714,11,2,1,0,6
BALUWA,1173,15,3,1,1,11
BHADRABAS,497,4,2,0,0,0
BHIMDHUNGA,608,9,0,0,0,2
BUDANILKANTHA,3646,31,20,2,9,17
CHALNAKHEL,956,24,5,2,9,9
CHAPALI BHADRAKALI,2521,22,14,0,2,15
CHHAIMALE,919,39,2,2,1,5
DAHACHOK,860,16,2,0,0,0
CHUNIKHEL,837,5,9,4,0,4
DAANCHHI,2504,24,35,4,2,24
DAXINKALI,950,25,1,1,1,6
DHAPASI,8090,22,26,8,2,54
DHARMASTHALI,1378,28,5,2,4,4
FUTUNG,1048,13,1,0,1,1
GAGALPHEDI,1130,19,4,0,8,5
GOKARNESWOR,1731,18,9,1,0,9
GOLDHUNGA,3701,40,20,3,5,37
GONGGABU,14298,30,36,8,7,77
GOTHATAR,6635,38,15,2,2,57
ICHANG NARAYAN,6180,26,14,4,7,57
INDRAYANI,696,10,3,0,1,7
JHOR MAHANKAL,824,38,9,0,2,0
JITPURPHEDI,1073,25,2,0,0,3
JORPATI,21350,77,152,9,2,272
KABHRESTHALI,984,15,1,1,1,5
KAPAN,12142,30,61,5,5,81
KATHMANDU METROPOLITAN CITY,249949,747,1066,105,282,2143
KHADKA BHADRAKALI,2534,21,10,0,5,12
KIRTIPUR MUNICIPALITY,19108,117,84,8,6,118
LAPSIPHEDI,1098,95,1,4,0,11
MACHHEGAUN,861,4,2,1,0,4
MAHADEVATHAN,3622,61,17,3,3,25
MAHANKAL,4359,14,15,0,2,31
MANMAIJU,10816,19,34,1,3,76
MATATIRTHA,1375,24,0,0,0,14
MULPANI,2600,14,20,0,0,13
NAGLEBHARE,855,76,0,0,0,4
NAIKAP NAYA BHANJYANG,1954,10,4,0,1,11
NAIKAP PURANO BHANJYANG,1031,14,3,0,0,6
NAYAPATI,1696,13,9,0,5,2
PUKHULACHHI,583,8,2,0,1,2
RAMKOT,1904,16,3,3,6,5
SANGLA,779,20,3,1,4,1
SETIDEVI,992,40,1,1,1,4
SATUNGAL,2640,66,9,0,1,10
SEUCHATAR,3325,21,14,1,1,16
SHESHNARAYAN,806,21,2,0,1,14
SITAPAILA,4454,23,11,3,3,30
SUNDARIJAL,539,6,0,1,0,1
SUNTOL,986,30,1,0,0,4
TALKUDUDECHOUR,608,37,0,0,2,1
THANKOT,2686,44,32,0,1,57
TINTHANA,2460,12,8,0,3,24
TOKHA CHANDESWORI,805,28,2,0,2,4
TOKHA SARSWOTI,1173,7,1,0,0,8
TOTAL,427363,2330,1815,200,407,3429
