VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BAGHMARE,449,188,936,4,2,0,2,14
BELA,1806,120,14,105,2,0,2,6
BIJAURI,1095,1554,35,211,35,0,0,52
CHAULAHI,1274,1130,91,1770,5,0,1,20
DHANAURI,310,337,1265,9,4,0,3,5
DHARNA,1136,390,19,6,1,0,0,10
DHIKPUR,629,1229,468,44,5,0,2,11
DURUWA,1298,902,484,31,7,0,0,13
GADHAWA,1496,227,53,381,9,0,1,9
GANGAPRASPUR,1558,201,12,242,5,0,6,7
GOBARDIYA,2057,291,142,325,5,0,0,53
GOLTAKURI,720,202,184,3,5,0,0,5
HALWAR,713,1311,20,111,19,0,0,13
HANSIPUR,1392,65,3,0,8,0,0,19
HAPUR,1255,1591,95,23,7,0,0,15
HEKULI,483,321,957,14,14,0,0,28
KABHRE,1311,149,2,1,0,0,0,10
KOILABAS,132,27,0,28,0,0,0,0
LALMATIYA,1201,1058,787,1294,36,0,0,99
LAXMIPUR,1281,1508,25,85,27,0,0,6
LOHARPANI,895,197,3,7,2,0,0,12
MANPUR,600,2031,304,117,8,0,0,28
NARAYANPUR,389,2110,494,547,7,0,2,28
PANCHAKULE,357,454,974,16,7,0,2,12
PAWAN NAGAR,438,663,767,19,6,0,1,4
PHULBARI,895,233,81,5,1,0,0,12
PURANDHARA,1688,650,1706,34,6,0,3,36
RAJPUR,2241,62,11,78,3,0,1,22
RAMPUR,1475,1116,52,26,7,0,1,21
SAIDHA,1184,135,0,0,1,0,0,18
SATBARIYA,1938,286,91,131,18,0,7,30
SAUDIYAR,719,1390,268,44,22,0,1,9
SHANTINAGAR,351,515,874,13,5,0,37,5
SHREEGAUN,278,339,892,8,0,0,0,2
SISAHANIYA,1055,706,621,855,14,0,1,7
SONPUR,1140,961,51,445,13,0,0,30
SYUJA,838,128,2,3,0,0,0,4
TARIGAUN,295,1276,561,157,3,0,1,6
GHORAHI MUNICIPALITY,1136,6998,130,7039,27,0,21,134
TULSIPUR MUNICIPALITY,1073,5184,648,5111,40,0,11,147
URAHARI,725,932,873,64,5,0,2,12
TOTAL,41306,39167,14995,19406,391,0,108,974
