VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BAGHMARE,379,730,3,208,267,8
BELA,946,225,2,140,739,3
BIJAURI,1903,871,14,127,28,39
CHAULAHI,3869,290,10,19,88,15
DHANAURI,1181,722,3,11,14,2
DHARNA,925,601,1,10,15,10
DHIKPUR,1367,786,9,27,196,3
DURUWA,1277,1275,4,25,145,9
GADHAWA,1719,216,5,22,205,9
GANGAPRASPUR,1561,294,3,4,167,2
GOBARDIYA,2151,321,2,35,336,28
GOLTAKURI,771,182,0,62,102,2
HALWAR,1385,634,13,92,56,7
HANSIPUR,2,30,6,566,871,12
HAPUR,1608,1004,4,89,272,9
HEKULI,1085,694,1,13,10,14
KABHRE,394,333,3,174,568,1
KOILABAS,85,79,0,1,22,0
LALMATIYA,3686,359,56,33,267,74
LAXMIPUR,1827,806,12,24,257,6
LOHARPANI,208,25,1,143,731,8
MANPUR,2247,727,5,30,57,22
NARAYANPUR,2308,1111,5,21,115,17
PANCHAKULE,862,613,5,118,215,9
PAWAN NAGAR,1033,774,6,74,10,1
PHULBARI,392,630,3,16,172,14
PURANDHARA,778,1230,9,1286,804,16
RAJPUR,901,403,2,390,706,16
RAMPUR,1264,1184,4,96,147,3
SAIDHA,50,731,1,218,329,9
SATBARIYA,1546,535,4,181,229,6
SAUDIYAR,1841,579,1,4,25,3
SHANTINAGAR,1162,542,2,69,22,3
SHREEGAUN,566,803,1,50,99,0
SISAHANIYA,2534,328,17,63,312,5
SONPUR,1922,447,4,53,186,28
SYUJA,240,449,4,56,224,2
TARIGAUN,1747,465,5,14,63,5
GHORAHI MUNICIPALITY,13482,1664,49,113,101,76
TULSIPUR MUNICIPALITY,10076,1678,30,181,185,64
URAHARI,1901,653,4,9,37,9
TOTAL,75181,26023,313,4867,9394,569
