VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BAGHMARE,1628,1878,1193,1298,379,511,56,69
BELA,2597,2965,1780,1730,780,1199,37,36
BIJAURI,2753,3186,1938,1992,681,1042,134,152
CHAULAHI,4135,4625,3228,3364,876,1233,31,28
DHANAURI,1862,2173,1450,1563,395,580,17,30
DHARNA,1375,1717,1021,1073,331,601,23,43
DHIKPUR,2242,2618,1718,1776,505,824,19,18
DURUWA,2685,3148,2077,2070,598,1059,10,19
GADHAWA,2426,2785,1836,1933,566,810,24,42
GANGAPRASPUR,2401,2561,1716,1682,627,805,58,74
GOBARDIYA,3262,3743,2346,2346,775,1238,141,159
GOLTAKURI,1067,1326,873,940,150,312,44,74
HALWAR,2002,2297,1577,1587,379,655,46,55
HANSIPUR,1968,2243,1123,1139,832,1088,13,16
HAPUR,2795,3431,2103,2248,663,1140,29,43
HEKULI,1854,2208,1387,1534,393,588,74,86
KABHRE,1379,1935,1084,1153,237,673,58,109
KOILABAS,176,220,128,132,46,86,2,2
LALMATIYA,4546,5008,3352,3331,1108,1573,86,104
LAXMIPUR,2662,3284,1961,2231,662,995,39,58
LOHARPANI,1201,1692,938,1045,242,609,21,38
MANPUR,2973,3397,2278,2287,581,973,114,137
NARAYANPUR,3463,3981,2708,2750,689,1127,66,104
PANCHAKULE,1698,2045,1268,1376,390,610,40,59
PAWAN NAGAR,1716,2017,1282,1352,410,621,24,44
PHULBARI,1162,1370,905,910,230,400,27,60
PURANDHARA,4196,5019,3265,3443,868,1486,63,90
RAJPUR,3321,3542,2211,2141,1073,1346,37,55
RAMPUR,2579,3287,1992,2201,564,1054,23,32
SAIDHA,1517,1856,972,945,509,855,36,56
SATBARIYA,2952,3302,2114,2166,776,1046,62,90
SAUDIYAR,2434,2893,1943,2029,454,798,37,66
SHANTINAGAR,1523,1934,1220,1332,286,581,17,21
SHREEGAUN,1408,1704,1131,1225,253,436,24,43
SISAHANIYA,3769,4178,2773,2966,909,1062,87,150
SONPUR,2927,3137,2102,2116,762,942,63,79
SYUJA,959,1288,730,793,206,469,23,26
TARIGAUN,2253,2514,1768,1783,456,680,29,51
GHORAHI MUNICIPALITY,11885,12619,9254,8978,2356,3288,275,353
TULSIPUR MUNICIPALITY,10223,11119,8067,7870,1844,2859,312,390
URAHARI,2623,2959,2095,1987,474,858,54,114
INSTITUTIONAL,1187,312,602,276,573,31,12,5
