VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ANARMANI,3263,125,6543,54,183,10,10,47
ARJUNDHARA,2868,31,768,39,837,4,11,2
BAHUNDANGI,4643,33,236,6,531,2,2,26
BAIGUNDHURA,955,11,74,120,83,0,7,1
BALUBADI,1133,6,21,4,79,0,0,3
BANIYANI,1131,16,131,53,108,0,3,2
BHADRAPUR MUNICIPALITY,1722,89,2253,25,62,1,39,57
BUDHABARE,2920,24,1123,7,1047,1,13,135
CHAKCHAKI,1394,9,89,391,228,0,75,10
CHANDRAGADHI,2229,40,1649,12,550,1,24,9
CHARPANE,1836,59,1875,9,352,2,11,14
DAMAK MUNICIPALITY,6830,261,9774,46,1007,19,50,117
DANGIBARI,1241,9,62,235,205,0,2,4
DHAIJAN,1541,11,392,2,235,3,10,10
DHARAMPUR,2667,14,258,6,258,0,4,11
DUWAGADHI,1361,24,778,6,416,0,0,6
GARAMANI,3506,62,383,25,717,9,5,18
GAURADAHA,2454,56,650,80,246,2,9,17
GAURIGANJ,744,11,140,1020,58,0,320,9
GHAILADUBBA,1840,22,643,16,437,5,2,4
GHERABARI,1261,20,16,48,27,2,96,10
GOLDHAP,1343,6,130,4,210,0,0,8
HALDIBARI,1505,14,136,5,130,0,0,2
JALTHAL,2500,8,147,8,250,3,1,5
JUROPANI,1386,11,144,778,226,0,39,5
JYAMIRGADHI,1501,23,94,116,328,0,10,4
KECHANA,305,1,19,882,20,0,57,0
KHAJURGACHHI,502,26,116,1332,43,2,8,7
KHUDUNABARI,2777,11,194,2,455,1,1,16
KOHABARA,1530,49,105,503,150,0,2,4
KOROBARI,681,34,12,303,14,0,214,2
KUMARKHOD,240,46,58,1446,56,0,79,6
LAKHANPUR,3117,23,941,18,564,0,10,22
MAHABHARA,656,38,55,734,50,1,6,2
MAHARANIJHODA,1803,14,141,10,398,0,1,6
MAHESHPUR,2321,31,243,121,125,0,9,3
MECHINAGAR MUNICIPALITY,7186,186,5010,36,700,9,19,35
PANCHGACHHI,1286,27,121,752,158,4,19,8
PATHAMARI,241,15,3,424,3,0,268,1
PATHARIYA,1981,81,112,6,152,1,0,0
PRITHIVINAGAR,2728,12,530,7,364,6,2,6
RAJGADH,2713,36,149,340,181,3,12,10
SANISCHARE,3439,28,1399,8,714,3,4,11
SATASIDHAM,4611,43,908,18,453,1,3,35
SHANTINAGAR,3460,6,211,19,510,4,3,15
SHARANAMATI,1125,31,136,1457,306,0,25,12
SHIVAGANJ,2068,29,372,194,354,0,4,9
SURUNGA,3447,68,1705,172,1041,4,5,15
TAGHANDUBBA,590,24,38,1240,56,0,120,7
TOPGACHHI,4023,30,745,149,602,1,6,5
TOTAL,108604,1884,41832,13288,16279,104,1620,773
