VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ANARMANI,4190,5887,46,23,13,1,28,47
ARJUNDHARA,547,3644,67,250,6,14,30,2
BAHUNDANGI,3054,1078,318,833,47,44,76,29
BAIGUNDHURA,19,1202,2,4,0,0,23,1
BALUBADI,14,1052,5,172,0,0,0,3
BANIYANI,18,1310,28,29,1,0,56,2
BHADRAPUR MUNICIPALITY,2649,1389,45,100,1,0,9,55
BUDHABARE,3669,939,201,207,26,17,78,133
CHAKCHAKI,21,2123,4,2,1,5,31,9
CHANDRAGADHI,1950,2429,37,50,5,8,23,12
CHARPANE,883,3203,21,18,5,0,15,13
DAMAK MUNICIPALITY,6380,11202,100,108,23,8,170,113
DANGIBARI,30,1683,10,11,3,1,16,4
DHAIJAN,37,1764,110,280,0,0,3,10
DHARAMPUR,31,3101,2,5,0,0,68,11
DUWAGADHI,22,2365,38,121,0,0,39,6
GARAMANI,64,4435,39,142,11,4,13,17
GAURADAHA,1064,2394,11,2,3,0,23,17
GAURIGANJ,7,2277,1,0,0,0,9,8
GHAILADUBBA,20,2818,40,64,1,0,23,3
GHERABARI,9,1457,2,2,0,0,0,10
GOLDHAP,13,1643,16,5,1,0,15,8
HALDIBARI,41,1695,4,33,4,0,13,2
JALTHAL,41,2800,25,39,10,0,3,4
JUROPANI,18,2549,4,9,3,0,1,5
JYAMIRGADHI,11,2002,10,45,1,2,1,4
KECHANA,1,1255,1,27,0,0,0,0
KHAJURGACHHI,12,1992,3,15,3,1,3,7
KHUDUNABARI,1746,851,141,524,58,48,72,17
KOHABARA,28,2286,0,9,1,0,15,4
KOROBARI,26,1207,3,7,1,0,14,2
KUMARKHOD,32,1840,9,10,2,0,32,6
LAKHANPUR,456,4165,6,3,1,1,42,21
MAHABHARA,35,1450,2,13,3,0,37,2
MAHARANIJHODA,23,2317,2,1,0,0,24,6
MAHESHPUR,68,2738,8,33,2,1,1,2
MECHINAGAR MUNICIPALITY,5400,5946,347,1195,19,6,237,31
PANCHGACHHI,12,2305,8,4,1,0,38,7
PATHAMARI,7,827,2,114,1,1,2,1
PATHARIYA,46,2225,6,43,7,0,6,0
PRITHIVINAGAR,17,3537,9,1,10,1,75,5
RAJGADH,38,3336,4,7,4,0,45,10
SANISCHARE,864,4256,129,325,12,1,9,10
SATASIDHAM,289,5675,14,10,6,3,40,35
SHANTINAGAR,3796,111,139,101,18,15,34,14
SHARANAMATI,16,3029,1,8,0,2,25,11
SHIVAGANJ,30,2954,8,4,4,0,22,8
SURUNGA,1944,4308,29,31,45,2,83,15
TAGHANDUBBA,21,2011,4,14,6,2,10,7
TOPGACHHI,343,5148,6,4,0,0,55,5
TOTAL,40052,134210,2067,5057,369,188,1687,754
