VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ANARMANI,1157,639,518,9147,4784,4363,6183,3055,3128,5013,2396,2617,4936,2409,2527,3134,1683,1451,1603,1061,542,428,327,101,6,3,3,1080,539,541,43,28,15
ARJUNDHARA,318,179,139,4741,2511,2230,3249,1570,1679,2333,1068,1265,1613,812,801,773,428,345,336,234,102,77,64,13,10,7,3,682,335,347,15,10,5
BAHUNDANGI,340,177,163,5930,3088,2842,4464,2149,2315,2832,1263,1569,1911,920,991,638,361,277,215,162,53,55,39,16,2,2,0,745,399,346,96,51,45
BAIGUNDHURA,140,77,63,1204,618,586,852,423,429,656,323,333,395,192,203,181,107,74,82,56,26,16,12,4,0,0,0,295,151,144,2,1,1
BALUBADI,111,56,55,1475,791,684,817,443,374,403,200,203,276,144,132,123,77,46,24,22,2,3,3,0,0,0,0,192,122,70,0,0,0
BANIYANI,195,111,84,1554,823,731,1006,507,499,556,286,270,352,184,168,203,132,71,68,51,17,5,4,1,0,0,0,212,123,89,6,4,2
BHADRAPUR MUNICIPALITY,397,218,179,3749,1968,1781,2727,1356,1371,2041,1026,1015,2034,986,1048,1309,731,578,868,576,292,234,186,48,0,0,0,264,113,151,33,16,17
BUDHABARE,450,234,216,4802,2523,2279,3710,1761,1949,2605,1250,1355,2393,1165,1228,1348,746,602,532,359,173,144,120,24,1,0,1,1050,541,509,114,52,62
CHAKCHAKI,171,85,86,2435,1242,1193,1418,723,695,1094,502,592,663,335,328,304,189,115,78,56,22,19,14,5,2,0,2,403,205,198,24,10,14
CHANDRAGADHI,429,222,207,3892,1948,1944,2672,1357,1315,2225,1066,1159,2165,1117,1048,1161,666,495,537,378,159,136,102,34,1,0,1,440,223,217,55,23,32
