VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ANARMANI,1000,7375,1813,47
ARJUNDHARA,847,2151,1561,1
BAHUNDANGI,745,2466,2239,29
BAIGUNDHURA,385,307,558,1
BALUBADI,811,200,232,3
BANIYANI,709,370,363,2
BHADRAPUR MUNICIPALITY,732,2940,519,57
BUDHABARE,441,2960,1734,135
CHAKCHAKI,948,592,646,10
CHANDRAGADHI,1048,2673,780,13
CHARPANE,692,2853,600,13
DAMAK MUNICIPALITY,1721,10470,5794,119
DANGIBARI,494,662,598,4
DHAIJAN,471,774,949,10
DHARAMPUR,523,1164,1520,11
DUWAGADHI,530,1586,469,6
GARAMANI,1024,1878,1806,17
GAURADAHA,580,1686,1231,17
GAURIGANJ,1503,600,190,9
GHAILADUBBA,774,1325,866,4
GHERABARI,1251,111,108,10
GOLDHAP,211,687,795,8
HALDIBARI,698,571,522,1
JALTHAL,909,923,1085,5
JUROPANI,1081,874,629,5
JYAMIRGADHI,1021,530,521,4
KECHANA,1023,117,144,0
KHAJURGACHHI,1494,290,245,7
KHUDUNABARI,469,1487,1484,17
KOHABARA,1064,549,726,4
KOROBARI,970,106,182,2
KUMARKHOD,1413,288,224,6
LAKHANPUR,838,1990,1844,23
MAHABHARA,938,265,337,2
MAHARANIJHODA,324,887,1156,6
MAHESHPUR,1285,879,686,3
MECHINAGAR MUNICIPALITY,2338,7102,3708,33
PANCHGACHHI,1209,550,608,8
PATHAMARI,878,52,25,0
PATHARIYA,1241,683,409,0
PRITHIVINAGAR,310,1438,1901,6
RAJGADH,2194,742,497,11
SANISCHARE,736,2956,1903,11
SATASIDHAM,1122,2354,2560,36
SHANTINAGAR,557,1701,1955,15
SHARANAMATI,1724,800,556,12
SHIVAGANJ,787,1212,1022,9
SURUNGA,1089,3421,1932,15
TAGHANDUBBA,1513,242,313,7
TOPGACHHI,914,2494,2148,5
TOTAL,47579,81333,54693,779
