VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ANDUPATTI,596,41,16,8
AURAHI,720,37,194,10
BAFAI,136,183,221,11
BAGHCHAURA,740,38,286,5
BAHEDA BELA,958,17,142,14
BAHUARBA,707,70,97,9
BALABAKHAR,1309,52,19,7
BALAHA KATHAL,527,73,37,16
BALAHA SADHARA,611,62,17,8
BALLAGOTH,504,50,97,22
BANINIYA,527,146,18,2
BARAMAJHIYA,1000,86,81,5
BASAHIYA,893,273,40,7
BASBITTI,429,77,30,0
BATESWOR,810,175,143,23
BEGA SHIVAPUR,871,176,333,23
BEGADAWAR,1172,323,764,22
BHARATPUR,2385,427,146,63
BHUCHAKRAPUR,797,56,77,12
BHUTAHIPATERWA,789,65,36,5
BINDHI,713,291,184,4
BISARMORA,775,101,44,8
CHAKKAR,624,160,275,19
CHORA KOILPUR,759,9,78,8
DHANUSHA GOVINDAPUR,1485,63,90,19
DEBADIHA,1039,127,18,30
DEURI PARBAHA,603,103,124,6
DEVPURA RUPETHA,704,371,329,30
DHABOULI,1002,116,162,37
DHALKEBAR,1398,141,466,17
DHANAUJI,1275,99,95,46
DHANUSADHAM,1384,110,112,30
DIGAMBARPUR,1484,69,145,31
DUBARIKOT HATHILETWA,1152,57,58,23
DUHABI,523,157,481,139
EKARAHI,689,125,91,1
FULGAMA,1470,290,427,6
GHODGHANS,721,108,287,6
GODAR,1400,150,44,15
GOPALPUR,747,160,94,16
GOTH KOHELPUR,600,1,53,70
HANSAPUR KATHPULA,723,64,79,12
HARIHARPUR,1175,149,223,15
HARINE,821,50,37,31
HATHIPURHARBARA,675,44,26,9
INARWA,447,122,51,13
ITAHARWA,726,46,54,12
JANAKPUR MUNICIPALITY,2208,11036,5597,342
JHATIYAHI,918,105,14,31
JHOJI KATAIYA,549,111,68,13
KACHURI THERA,650,286,118,9
KAJARA RAMAUL,690,146,108,9
KANAKPATTI,677,100,185,4
KHAJURI CHANHA,833,125,100,5
KHARIYANI,1317,35,440,45
KURTHA,779,429,124,18
LABATOLI,701,152,44,11
LAGMAGADHAGUTHI,763,77,72,12
LAKHOURI,385,71,83,39
LAKKAD,702,15,18,13
LAXMINIWAS,463,66,56,18
LAXMIPURBAGEWA,725,252,253,3
LOHANA,692,187,214,89
MAHUWA (PRA. KHE.),634,31,144,4
MAHUWA (PRA. KO.),689,176,186,5
MAKHANAHA,855,198,344,28
MANSHINGPATTI,620,97,78,9
MACHIJHITKAIYA,1562,28,109,39
MITHILESHWOR MAUWAHI,569,119,33,17
MITHILESHWOR NIKAS,1011,96,45,60
MUKHIYAPATTI MUSAHARNIYA,1081,20,23,19
NAGARAEEN,774,78,172,1
NAKATAJHIJH,1114,97,234,19
NANUPATTI,567,93,15,2
NAUWAKHOR PRASHAHI,566,65,188,23
PACHAHARWA,474,146,20,16
PATANUKA,438,89,86,13
PATERWA,690,71,36,32
PAUDESWOR,926,80,108,14
PUSPALPUR,431,27,62,4
RAGHUNATHPUR,2298,311,91,32
RAMADAIYA BHAWADI,884,134,155,16
SABELA,763,325,521,9
SAKHUWA MAHENDRANAGAR,1631,937,836,41
SAPAHI,934,274,285,19
SATOSAR,681,134,166,105
SHANTIPUR,899,31,41,4
GIDDHA,619,52,229,27
SINGYAHI MAIDAN,1446,79,56,5
SINURJODA,1113,163,272,9
SONIGAMA,1000,62,177,4
SUGA MADHUKARAHI,599,109,42,17
SUGA NIKASH,541,128,58,5
TARAPATTI SIRSIYA,951,242,155,39
THADI JHIJA,826,160,292,17
THILLA YADUWA,310,97,264,30
TULSI CHAUDA,428,146,436,14
TULSIYAHI NIKAS,602,100,89,3
TULSIYANI JABDI,672,108,166,3
UMAPREMPUR,1806,84,253,31
YADUKUSH,681,231,231,2
YAGYABHUMI,2360,404,348,24
TOTAL,89692,24725,21461,2347
