VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ANDUPATTI,43,21,22,732,431,301,349,222,127,202,148,54,112,88,24,58,53,5,14,12,2,1,1,0,1,1,0,42,30,12,19,10,9
AURAHI,38,20,18,848,488,360,527,311,216,282,206,76,432,324,108,142,106,36,48,44,4,14,13,1,4,3,1,4,3,1,11,8,3
BAFAI,17,12,5,676,356,320,271,145,126,100,69,31,175,140,35,36,27,9,38,32,6,28,23,5,0,0,0,4,2,2,40,31,9
BAGHCHAURA,15,9,6,1070,590,480,536,318,218,282,211,71,175,124,51,95,69,26,46,38,8,6,5,1,1,1,0,14,7,7,53,28,25
BAHEDA BELA,28,12,16,1111,631,480,650,407,243,366,263,103,140,112,28,116,92,24,24,21,3,3,3,0,1,1,0,4,2,2,20,11,9
BAHUARBA,12,7,5,894,479,415,433,279,154,216,157,59,231,161,70,99,70,29,27,24,3,6,6,0,0,0,0,0,0,0,27,11,16
BALABAKHAR,80,51,29,1372,770,602,585,408,177,261,182,79,257,191,66,72,58,14,26,23,3,6,6,0,1,1,0,66,55,11,22,13,9
BALAHA KATHAL,16,8,8,666,380,286,286,176,110,213,135,78,44,37,7,80,59,21,40,36,4,2,2,0,1,1,0,2,1,1,7,4,3
BALAHA SADHARA,24,15,9,512,284,228,228,150,78,204,133,71,89,63,26,62,46,16,34,30,4,4,3,1,1,1,0,28,18,10,0,0,0
BALLAGOTH,22,19,3,608,367,241,247,172,75,94,61,33,103,75,28,43,32,11,32,27,5,3,2,1,63,23,40,23,12,11,23,16,7
BANINIYA,31,17,14,573,302,271,363,201,162,237,165,72,207,160,47,113,88,25,27,22,5,1,1,0,2,1,1,16,12,4,74,46,28
BARAMAJHIYA,79,46,33,1340,743,597,611,360,251,289,210,79,219,141,78,108,76,32,52,40,12,8,5,3,2,1,1,29,19,10,35,19,16
BASAHIYA,67,28,39,1375,788,587,707,427,280,464,351,113,268,164,104,157,108,49,166,125,41,67,53,14,54,29,25,27,16,11,69,36,33
BASBITTI,12,4,8,609,338,271,291,161,130,130,82,48,89,56,33,68,56,12,21,18,3,3,3,0,1,0,1,28,15,13,38,14,24
BATESWOR,85,46,39,1562,898,664,815,496,319,296,175,121,492,337,155,197,123,74,101,74,27,24,19,5,4,3,1,39,23,16,42,22,20
BEGA SHIVAPUR,13,8,5,1430,800,630,711,421,290,446,298,148,383,276,107,189,155,34,67,61,6,13,13,0,2,1,1,4,3,1,16,7,9
BEGADAWAR,234,125,109,2293,1289,1004,1433,833,600,750,462,288,1223,755,468,647,393,254,223,164,59,49,40,9,4,2,2,602,331,271,66,38,28
BHARATPUR,203,130,73,3089,1677,1412,1444,805,639,667,421,246,552,344,208,273,173,100,86,64,22,13,12,1,98,38,60,97,47,50,460,234,226
BHUCHAKRAPUR,45,29,16,1101,599,502,660,392,268,255,184,71,308,203,105,150,93,57,38,27,11,13,12,1,0,0,0,1,1,0,52,26,26
BHUTAHIPATERWA,21,10,11,778,431,347,363,204,159,206,139,67,156,121,35,45,27,18,50,46,4,5,5,0,0,0,0,7,4,3,3,2,1
BINDHI,115,65,50,1415,783,632,648,383,265,372,240,132,306,210,96,206,139,67,95,78,17,22,19,3,3,2,1,4,4,0,15,10,5
BISARMORA,14,12,2,901,480,421,534,318,216,313,204,109,234,148,86,117,81,36,72,60,12,15,14,1,0,0,0,1,0,1,1,0,1
CHAKKAR,19,9,10,1117,616,501,561,350,211,342,248,94,220,178,42,83,70,13,43,35,8,12,9,3,3,1,2,3,3,0,84,36,48
CHORA KOILPUR,42,22,20,703,409,294,282,171,111,202,130,72,216,149,67,131,98,33,49,41,8,7,7,0,0,0,0,1,0,1,18,11,7
DHANUSHA GOVINDAPUR,19,12,7,1577,883,694,735,463,272,412,285,127,297,216,81,122,90,32,28,27,1,13,12,1,4,4,0,6,5,1,17,10,7
DEBADIHA,16,9,7,1154,647,507,512,302,210,263,202,61,404,294,110,208,145,63,137,110,27,39,27,12,7,7,0,97,50,47,3,2,1
DEURI PARBAHA,13,10,3,740,399,341,382,226,156,172,118,54,250,183,67,93,72,21,57,48,9,8,8,0,1,1,0,1,0,1,16,6,10
DEVPURA RUPETHA,87,37,50,1618,847,771,526,279,247,325,216,109,288,203,85,200,151,49,98,87,11,35,30,5,4,3,1,74,34,40,236,127,109
DHABOULI,24,17,7,1219,609,610,715,420,295,333,222,111,395,279,116,97,75,22,107,90,17,17,14,3,3,1,2,18,13,5,3,3,0
DHALKEBAR,268,141,127,2514,1332,1182,1198,643,555,622,364,258,668,446,222,270,175,95,76,60,16,14,13,1,3,1,2,279,180,99,30,12,18
DHANAUJI,16,8,8,1506,854,652,774,478,296,585,416,169,233,175,58,148,123,25,55,45,10,9,8,1,2,1,1,2,2,0,23,17,6
DHANUSADHAM,282,167,115,1540,770,770,676,392,284,271,175,96,320,231,89,96,64,32,45,37,8,9,9,0,34,24,10,35,22,13,27,9,18
DIGAMBARPUR,72,43,29,1753,981,772,839,539,300,386,253,133,267,203,64,113,85,28,42,35,7,2,2,0,1,0,1,3,1,2,94,52,42
DUBARIKOT HATHILETWA,5,4,1,1402,703,699,668,441,227,275,179,96,191,139,52,115,85,30,55,44,11,10,10,0,1,1,0,250,142,108,40,22,18
DUHABI,72,41,31,993,553,440,490,271,219,429,275,154,292,202,90,222,161,61,128,113,15,41,32,9,8,5,3,32,18,14,107,69,38
EKARAHI,36,20,16,896,477,419,402,232,170,304,206,98,172,116,56,107,70,37,29,27,2,9,7,2,1,1,0,3,2,1,30,15,15
FULGAMA,169,108,61,2258,1284,974,975,623,352,423,308,115,334,243,91,191,140,51,95,79,16,15,13,2,4,2,2,19,16,3,30,18,12
GHODGHANS,127,77,50,879,461,418,535,288,247,327,208,119,217,143,74,142,96,46,62,54,8,13,12,1,0,0,0,74,27,47,5,4,1
GODAR,72,53,19,1825,960,865,798,451,347,368,213,155,293,170,123,161,96,65,52,34,18,13,11,2,2,0,2,126,73,53,12,7,5
GOPALPUR,38,21,17,968,520,448,504,308,196,350,240,110,162,118,44,59,46,13,18,15,3,3,3,0,0,0,0,38,21,17,14,10,4
GOTH KOHELPUR,65,35,30,408,223,185,240,136,104,134,82,52,177,130,47,68,48,20,28,23,5,3,3,0,0,0,0,21,13,8,0,0,0
HANSAPUR KATHPULA,37,28,9,909,479,430,474,248,226,231,161,70,250,168,82,109,93,16,37,31,6,8,8,0,3,1,2,17,10,7,43,25,18
HARIHARPUR,100,53,47,2043,1146,897,1079,666,413,482,322,160,459,306,153,215,146,69,85,63,22,13,10,3,3,2,1,72,42,30,14,7,7
HARINE,15,7,8,927,488,439,406,250,156,150,106,44,294,203,91,109,79,30,59,42,17,7,7,0,1,0,1,3,0,3,30,18,12
HATHIPURHARBARA,5,2,3,902,468,434,416,212,204,153,99,54,188,129,59,92,67,25,43,37,6,9,5,4,1,1,0,99,68,31,2,1,1
INARWA,6,3,3,657,373,284,236,166,70,114,73,41,116,87,29,32,21,11,20,19,1,1,1,0,2,0,2,43,26,17,53,28,25
ITAHARWA,1,0,1,655,354,301,269,160,109,183,122,61,118,87,31,84,62,22,20,14,6,7,7,0,1,1,0,1,1,0,73,43,30
JANAKPUR MUNICIPALITY,2227,1280,947,17537,9325,8212,11143,5802,5341,9008,5167,3841,9761,5593,4168,9077,5901,3176,5767,4309,1458,1622,1308,314,65,43,22,816,341,475,379,222,157
JHATIYAHI,54,31,23,732,387,345,435,229,206,166,98,68,149,114,35,46,33,13,28,24,4,5,4,1,3,1,2,2,1,1,13,5,8
JHOJI KATAIYA,7,1,6,753,399,354,272,177,95,201,135,66,118,91,27,60,51,9,16,13,3,9,7,2,28,12,16,8,5,3,210,154,56
KACHURI THERA,19,15,4,1417,738,679,557,324,233,434,277,157,179,119,60,110,92,18,67,57,10,17,17,0,4,4,0,12,6,6,15,9,6
