VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ARCHALBOT,369,27,9,15,0,2,2
BAHUNDANDA,443,5,9,19,0,2,2
BANJHAKHET,654,27,14,19,0,3,1
BAGLUNGPANI,576,13,2,11,0,0,7
BANGRE,382,12,6,6,0,0,2
BANSAR,523,45,2,0,0,0,2
BESISHAHAR,650,3531,32,29,2,7,40
BHALAYAKHARKA,509,19,12,8,0,0,1
BHARTE,555,6,20,2,0,0,1
BHOJE,457,2,4,11,0,0,2
BHORLETAR,603,317,36,73,0,0,4
BHOTE ODAR,618,1379,13,19,2,28,15
BHUJUNG,338,1,0,0,0,0,14
BHULBHULE,603,32,48,17,0,9,3
BICHAUR,485,3,3,13,0,3,4
CHAKRATIRTHA,993,194,18,45,1,0,2
CHANDISTHAN,361,120,5,3,0,0,3
CHANDRESHWOR,529,9,1,1,0,1,5
CHITI,1123,98,2,71,0,0,5
DHAMILIKUWA,941,115,7,87,1,0,3
DHODENI,511,7,16,15,0,1,3
DHUSENI,275,36,0,0,0,0,0
DUDHPOKHARI,452,3,2,12,0,0,1
DURADANDA,508,9,0,2,0,0,0
FALENI,260,0,7,17,0,0,0
GAUNDA,597,5,10,4,0,0,0
GAUNSHAHAR,1298,397,17,35,0,3,7
GHANPOKHARA,595,31,10,5,0,0,7
GHERMU,360,31,8,0,0,0,3
GILUNNG,387,21,5,0,0,0,1
HILETAKSAR,400,8,2,3,0,0,0
ILAMPOKHARI,594,5,5,2,0,0,2
ISHANESHWOR,595,86,29,37,3,6,8
JITA,543,34,0,0,0,0,1
KARAPU,487,9,15,5,0,1,0
KHUDI,642,150,15,12,0,6,1
KOLKI,376,0,6,1,0,1,1
KUNCHHA,491,12,0,7,0,0,4
MALING,298,1,1,6,0,0,2
MOHORIYAKOT,550,4,1,7,0,2,7
NALMA,407,23,4,3,0,0,1
NAUTHAR,507,13,6,2,0,1,1
NETA,409,4,1,0,0,0,2
PACHOK,541,5,0,14,0,1,0
PAREWADANDA,671,23,0,12,0,0,0
PASAGAUN,378,0,2,2,0,0,0
PURANKOT,292,9,0,0,0,0,0
PYARJUNG,409,25,0,9,0,0,9
RAMGHA,477,298,13,6,0,0,1
SAMIBHANJYANG,297,1,7,3,0,0,1
SHREE BHANJYANG,446,3,2,19,0,1,2
SIMPANI,705,71,9,30,0,3,2
SINDURE,297,11,2,0,0,0,1
SUNDARBAZAR,804,925,25,12,3,4,22
SURYAPAL,373,71,1,1,0,1,2
TAGHRING,435,32,41,5,0,7,1
TANGRANG TAKSAR,538,77,1,1,0,0,2
TARKU,385,32,2,3,0,0,1
TARKUGHAT,691,25,6,38,0,0,12
UDIPUR,522,144,10,14,0,4,4
UTTAR KANYA,278,2,1,0,0,0,0
TOTAL,31793,8598,525,793,12,97,230
