VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,42079,167724,75913,91811,3.985931224601345,82.68399211423467
ARCHALBOT,424,1605,703,902,3.785377358490566,77.93791574279379
BAHUNDANDA,480,2095,1010,1085,4.364583333333333,93.08755760368663
BANJHAKHET,718,2844,1309,1535,3.9610027855153205,85.27687296416939
BAGLUNGPANI,609,2458,1058,1400,4.036124794745485,75.57142857142857
BANGRE,408,1659,732,927,4.0661764705882355,78.96440129449837
BANSAR,572,2477,1183,1294,4.330419580419581,91.42194744976815
BESISHAHAR,4291,15442,6988,8454,3.598694942903752,82.65909628578187
BHALAYAKHARKA,549,2190,971,1219,3.989071038251366,79.65545529122231
BHARTE,584,2239,963,1276,3.833904109589041,75.47021943573668
BHOJE,476,1992,923,1069,4.184873949579832,86.3423760523854
BHORLETAR,1033,4059,1832,2227,3.9293320425943854,82.26313426133812
BHOTE ODAR,2074,7560,3392,4168,3.645130183220829,81.38195777351248
BHUJUNG,353,1506,660,846,4.26628895184136,78.01418439716312
BHULBHULE,712,2987,1357,1630,4.195224719101123,83.25153374233129
BICHAUR,511,2087,968,1119,4.084148727984345,86.50580875781948
CHAKRATIRTHA,1253,5011,2168,2843,3.9992019154030327,76.2574744987689
CHANDISTHAN,492,1895,864,1031,3.8516260162601625,83.80213385063045
CHANDRESHWOR,546,1958,844,1114,3.586080586080586,75.76301615798923
CHITI,1299,5166,2348,2818,3.976905311778291,83.32150461320084
DHAMILIKUWA,1154,4425,1909,2516,3.834488734835355,75.87440381558028
DHODENI,553,2625,1255,1370,4.746835443037975,91.6058394160584
DHUSENI,311,1254,528,726,4.032154340836013,72.72727272727273
DUDHPOKHARI,470,1969,901,1068,4.18936170212766,84.36329588014982
DURADANDA,519,1786,798,988,3.4412331406551058,80.76923076923077
FALENI,284,1405,676,729,4.947183098591549,92.72976680384087
GAUNDA,616,2657,1219,1438,4.313311688311688,84.77051460361614
GAUNSHAHAR,1757,6611,2859,3752,3.7626636311895276,76.19936034115139
GHANPOKHARA,648,2893,1360,1533,4.464506172839506,88.71493803000652
GHERMU,402,1776,822,954,4.417910447761194,86.16352201257862
GILUNNG,414,1559,688,871,3.7657004830917873,78.98966704936853
HILETAKSAR,413,1679,725,954,4.065375302663438,75.9958071278826
ILAMPOKHARI,608,2650,1204,1446,4.358552631578948,83.26417704011065
ISHANESHWOR,764,2991,1330,1661,3.9149214659685865,80.07224563515955
JITA,578,2191,966,1225,3.790657439446367,78.85714285714286
KARAPU,517,2127,967,1160,4.114119922630561,83.36206896551724
KHUDI,826,3401,1510,1891,4.1174334140435835,79.85193019566367
KOLKI,385,1612,728,884,4.187012987012987,82.35294117647058
KUNCHHA,514,1855,807,1048,3.6089494163424125,77.00381679389314
MALING,308,1224,554,670,3.9740259740259742,82.68656716417911
MOHORIYAKOT,571,2269,976,1293,3.9737302977232924,75.48337200309359
NALMA,438,1779,827,952,4.061643835616438,86.86974789915966
NAUTHAR,530,2223,990,1233,4.194339622641509,80.2919708029197
NETA,416,1697,726,971,4.079326923076923,74.76828012358393
PACHOK,561,2469,1149,1320,4.401069518716578,87.04545454545455
PAREWADANDA,706,2646,1127,1519,3.7478753541076486,74.19354838709677
PASAGAUN,382,1694,761,933,4.43455497382199,81.56484458735262
PURANKOT,301,1185,526,659,3.9368770764119603,79.81790591805766
PYARJUNG,452,1739,809,930,3.8473451327433628,86.98924731182795
RAMGHA,795,3158,1426,1732,3.9723270440251572,82.3325635103926
SAMIBHANJYANG,309,1517,750,767,4.909385113268608,97.78357235984355
SHREE BHANJYANG,473,1779,808,971,3.7610993657505287,83.21318228630278
SIMPANI,820,3289,1447,1842,4.010975609756097,78.55591748099891
SINDURE,311,1391,569,822,4.472668810289389,69.2214111922141
SUNDARBAZAR,1795,6715,2940,3775,3.7409470752089136,77.88079470198676
SURYAPAL,449,1562,662,900,3.4788418708240534,73.55555555555556
TAGHRING,521,2318,1113,1205,4.449136276391554,92.36514522821577
TANGRANG TAKSAR,619,2424,1078,1346,3.9159935379644586,80.0891530460624
TARKU,423,1699,764,935,4.016548463356974,81.71122994652407
TARKUGHAT,772,2893,1266,1627,3.7474093264248705,77.8119237861094
UDIPUR,698,2692,1210,1482,3.8567335243553007,81.64642375168691
UTTAR KANYA,281,1092,492,600,3.886120996441281,82
