VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARCHALBOT,38,16,22,359,170,189,225,94,131,130,77,53,100,47,53,50,24,26,21,14,7,2,2,0,0,0,0,150,59,91,2,2,0
BAHUNDANDA,21,12,9,593,298,295,278,154,124,172,95,77,93,63,30,48,27,21,16,16,0,3,3,0,0,0,0,67,34,33,1,0,1
BANJHAKHET,66,38,28,790,404,386,420,221,199,176,99,77,125,72,53,48,28,20,5,3,2,2,2,0,0,0,0,74,25,49,4,3,1
BAGLUNGPANI,88,44,44,647,311,336,400,197,203,123,60,63,115,73,42,33,16,17,13,10,3,1,1,0,0,0,0,114,38,76,2,1,1
BANGRE,57,37,20,465,256,209,299,133,166,96,45,51,90,46,44,34,19,15,3,3,0,0,0,0,0,0,0,64,29,35,0,0,0
BANSAR,5,2,3,727,403,324,338,175,163,121,74,47,47,34,13,25,18,7,9,6,3,1,1,0,2,1,1,117,68,49,11,4,7
BESISHAHAR,615,321,294,3741,1876,1865,2473,1162,1311,1437,657,780,1488,703,785,1148,529,619,342,226,116,137,115,22,9,6,3,263,93,170,9,3,6
BHALAYAKHARKA,33,16,17,578,310,268,301,141,160,148,68,80,153,68,85,66,39,27,39,29,10,8,3,5,0,0,0,124,49,75,0,0,0
BHARTE,39,21,18,450,200,250,372,173,199,200,102,98,177,86,91,65,35,30,20,19,1,5,4,1,1,0,1,47,32,15,4,1,3
BHOJE,45,22,23,544,288,256,276,138,138,86,41,45,81,47,34,30,20,10,5,3,2,2,1,1,1,0,1,103,53,50,1,1,0
