VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARCHALBOT,105,256,63,0
BAHUNDANDA,68,109,302,1
BANJHAKHET,28,466,223,1
BAGLUNGPANI,16,484,105,4
BANGRE,9,69,328,2
BANSAR,249,221,100,2
BESISHAHAR,69,3896,302,24
BHALAYAKHARKA,93,361,94,1
BHARTE,129,227,228,0
BHOJE,269,111,94,2
BHORLETAR,88,608,332,5
BHOTE ODAR,27,1729,307,11
BHUJUNG,233,12,106,2
BHULBHULE,215,276,219,2
BICHAUR,161,208,142,0
CHAKRATIRTHA,364,692,195,2
CHANDISTHAN,7,467,16,2
CHANDRESHWOR,39,331,171,5
CHITI,188,737,372,2
DHAMILIKUWA,57,626,469,2
DHODENI,371,106,75,1
DHUSENI,55,182,74,0
DUDHPOKHARI,121,180,168,1
DURADANDA,44,342,133,0
FALENI,211,59,14,0
GAUNDA,277,193,146,0
GAUNSHAHAR,59,1390,301,7
GHANPOKHARA,303,250,92,3
GHERMU,102,288,10,2
GILUNNG,75,229,109,1
HILETAKSAR,139,172,102,0
ILAMPOKHARI,453,125,29,1
ISHANESHWOR,77,456,226,5
JITA,89,326,163,0
KARAPU,253,135,129,0
KHUDI,231,334,261,0
KOLKI,99,229,57,0
KUNCHHA,50,321,141,2
MALING,92,141,74,1
MOHORIYAKOT,117,252,196,6
NALMA,103,291,44,0
NAUTHAR,290,218,21,1
NETA,70,178,168,0
PACHOK,374,171,16,0
PAREWADANDA,12,655,39,0
PASAGAUN,127,189,66,0
PURANKOT,68,177,56,0
PYARJUNG,178,176,89,9
RAMGHA,50,535,210,0
SAMIBHANJYANG,53,87,168,1
SHREE BHANJYANG,146,231,94,2
SIMPANI,147,473,198,2
SINDURE,11,155,144,1
SUNDARBAZAR,48,1483,244,20
SURYAPAL,67,264,116,2
TAGHRING,235,217,69,0
TANGRANG TAKSAR,97,234,286,2
TARKU,6,411,6,0
TARKUGHAT,166,455,149,2
UDIPUR,89,415,190,4
UTTAR KANYA,72,196,13,0
TOTAL,8041,24807,9054,146
