VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ANEKOT,1439,30,8,2,0,14
BALDTHALI,645,6,4,0,0,5
BALTING,498,0,0,0,0,6
BALUWAPATI DEUPUR,1197,51,18,14,0,12
BANAKHU CHOR,621,2,0,79,0,7
BANEPA MUNICIPALITY,1490,1330,2538,34,7,141
BEKHSIMLE GHARTIGAUN,255,0,0,0,0,1
BHIMKHORI,1038,13,1,7,4,3
BHUMLUTAR,470,37,0,14,0,8
BIRTADEURALI,524,0,0,0,0,6
BOLDE FEDICHE,465,2,0,0,0,3
BUDHAKHANI,660,0,0,1,0,1
CHALAL GANESHSTHAN,849,1,1,0,0,13
CHANDENI MANDAN,768,3,9,0,0,2
CHOUBAS,484,1,0,2,0,0
CHYAMRANGBESI,303,0,0,0,1,0
CHYASING KHARKA,604,1,0,1,0,5
DANDAGAUN,475,2,0,3,0,4
DAPCHA CHATREBHANJH,593,30,5,3,0,1
DARAUNE POKHARI,640,2,0,0,0,3
DEWABHUMI BALUWA,1496,64,10,0,1,7
DEVITAR,568,1,0,0,1,2
DHULIKHEL MUNICIPALITY,1595,792,597,21,2,272
DHUNKHARKA,1024,5,3,0,0,3
DHUSENI SIWALAYA,362,0,0,0,0,4
DOLALGHAT,349,33,15,1,0,69
FALATE BHUMLU,301,0,0,0,0,2
FALEMETAR,653,0,0,8,6,1
FOKSINGTAR,365,0,0,10,0,1
GAIRI BISOUNA DEUPUR,1101,55,33,0,2,12
GHARTICHHAP,359,1,0,47,1,3
GOKULE,693,0,0,51,0,8
GOTHPANI,515,0,0,1,0,2
HOKSE BAZAR,889,51,24,1,0,5
JAISITHOK MANDAN,655,6,4,1,0,1
JYAMDI MANDAN,1078,7,0,1,1,3
KALATI BHUMIDANDA,750,4,6,0,0,6
KANPUR KALAPANI,906,7,0,1,0,8
KATIKE DEURALI,667,2,1,0,0,5
KATUNJE BESI,486,4,4,1,1,1
KAVRE NITYA CHANDESWOR,992,24,13,4,1,8
KHAHARE PANGU,551,1,0,1,0,6
KHANALTHOK,991,35,42,6,1,7
KHARELTHOK,623,3,0,0,0,0
KHARPACHOK,309,7,1,13,1,4
KOLATI BHUMLU,315,0,0,0,0,1
KOSHIDEKHA,451,0,0,0,0,10
KURUWAS CHAPAKHORI,574,0,0,2,0,8
KUSHADEVI,1430,101,7,2,3,6
MACHCHHEGAUN,1256,3,1,1,0,2
MADAN KUNDARI,470,5,0,0,0,3
MAHADEVSTHAN MANDAN,1677,71,120,0,1,4
MAHADEVTAR,377,0,0,0,0,4
MAHANKAL CHAUR,784,1,0,1,0,1
MAHENDRA JYOTI,626,26,5,1,0,3
MAJHI FEDA,617,4,0,2,0,4
MANGALTAR,767,1,6,8,0,4
MATHURAPATI FULBARI,924,32,4,7,0,6
METHINKOT,921,25,8,1,89,11
MILCHE,427,3,0,15,2,0
NAGRE GAGARCHE,468,2,0,4,1,4
UGRACHANDI NALA,1178,148,99,3,0,16
NASIKASTHAN SANGA,765,295,239,5,0,1
NAYAGAUN DEUPUR,946,1,3,1,0,0
PANAUTI MUNICIPALITY,4219,1047,596,14,6,61
PANCHKHAL,2233,286,224,9,2,12
PATALEKHET,785,11,2,3,0,5
POKHARI CHAURI,647,0,0,0,0,1
POKHARI NARAYANSTHAN,641,4,2,0,0,0
PURANOGAUN DAPCHA,434,7,0,0,1,1
RAVI OPI,847,55,11,3,1,6
RYALE,956,13,3,1,0,4
SALDHARA,410,0,1,48,0,2
SALLE BHUMLU,482,1,0,1,0,5
SALMECHAKALA (TALDHUNGA),200,2,1,109,0,0
SANKHUPATI CHOUR,673,33,10,3,1,2
SANOWANGTHALI,338,0,0,3,0,2
SAPING,778,0,0,0,0,8
SARADA BATASE,491,17,1,1,1,0
SARAMTHALI,237,0,0,1,1,0
SARASYUNKHARK,1083,1,0,2,0,9
SATHIGHAR BHAGAWATI,614,28,4,0,0,4
SIKHAR AMBOTE,839,0,0,10,0,1
SIMALCHOUR SYAMPATI,798,21,0,5,3,5
SIMTHALI,350,0,0,0,0,0
SIPALI CHILAUNE,560,0,1,8,2,3
SISAKHANI,343,0,0,1,0,0
THULO PARSEL,577,0,0,1,0,0
TUKUCHA NALA,928,87,6,1,1,6
UGRATARA JANAGAL,717,438,404,8,1,66
TOTAL,68449,5382,5095,613,146,966
