VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ANEKOT,1474,12,0,7
BALDTHALI,630,8,17,5
BALTING,483,10,1,10
BALUWAPATI DEUPUR,1239,46,2,5
BANAKHU CHOR,699,8,1,1
BANEPA MUNICIPALITY,3283,2191,45,21
BEKHSIMLE GHARTIGAUN,255,1,0,0
BHIMKHORI,1021,33,1,11
BHUMLUTAR,486,22,2,19
BIRTADEURALI,526,1,0,3
BOLDE FEDICHE,464,6,0,0
BUDHAKHANI,651,4,5,2
CHALAL GANESHSTHAN,850,10,0,4
CHANDENI MANDAN,766,4,0,12
CHOUBAS,465,12,0,10
CHYAMRANGBESI,298,3,0,3
CHYASING KHARKA,598,3,0,10
DANDAGAUN,481,1,1,1
DAPCHA CHATREBHANJH,588,44,0,0
DARAUNE POKHARI,627,18,0,0
DEWABHUMI BALUWA,1520,39,4,15
DEVITAR,564,3,1,4
DHULIKHEL MUNICIPALITY,2090,1089,81,19
DHUNKHARKA,984,42,1,8
DHUSENI SIWALAYA,354,5,1,6
DOLALGHAT,407,56,3,1
FALATE BHUMLU,291,8,0,4
FALEMETAR,653,7,2,6
FOKSINGTAR,369,2,3,2
GAIRI BISOUNA DEUPUR,1148,49,1,5
GHARTICHHAP,407,2,1,1
GOKULE,739,9,1,3
GOTHPANI,505,12,0,1
HOKSE BAZAR,944,22,0,4
JAISITHOK MANDAN,660,4,0,3
JYAMDI MANDAN,1078,7,0,5
KALATI BHUMIDANDA,751,11,0,4
KANPUR KALAPANI,900,18,2,2
KATIKE DEURALI,657,17,0,1
KATUNJE BESI,456,39,2,0
KAVRE NITYA CHANDESWOR,988,37,0,17
KHAHARE PANGU,555,4,0,0
KHANALTHOK,981,94,2,5
KHARELTHOK,593,5,1,27
KHARPACHOK,306,29,0,0
KOLATI BHUMLU,306,1,0,9
KOSHIDEKHA,437,7,1,16
KURUWAS CHAPAKHORI,576,7,0,1
KUSHADEVI,1487,29,2,31
MACHCHHEGAUN,1245,7,3,8
MADAN KUNDARI,470,6,2,0
MAHADEVSTHAN MANDAN,1773,83,3,14
MAHADEVTAR,372,9,0,0
MAHANKAL CHAUR,774,10,2,1
MAHENDRA JYOTI,651,10,0,0
MAJHI FEDA,619,3,2,3
MANGALTAR,750,32,1,3
MATHURAPATI FULBARI,908,56,1,8
METHINKOT,1025,10,10,10
MILCHE,444,1,2,0
NAGRE GAGARCHE,469,4,2,4
UGRACHANDI NALA,1352,82,0,10
NASIKASTHAN SANGA,1064,235,0,6
NAYAGAUN DEUPUR,934,11,1,5
PANAUTI MUNICIPALITY,5136,762,24,21
PANCHKHAL,2411,310,19,26
PATALEKHET,786,12,0,8
POKHARI CHAURI,638,6,0,4
POKHARI NARAYANSTHAN,638,3,1,5
PURANOGAUN DAPCHA,440,2,0,1
RAVI OPI,891,24,0,8
RYALE,967,7,1,2
SALDHARA,446,12,0,3
SALLE BHUMLU,473,13,1,2
SALMECHAKALA (TALDHUNGA),288,18,3,3
SANKHUPATI CHOUR,714,6,0,2
SANOWANGTHALI,338,3,0,2
SAPING,779,4,0,3
SARADA BATASE,495,8,0,8
SARAMTHALI,231,4,1,3
SARASYUNKHARK,1078,10,1,6
SATHIGHAR BHAGAWATI,610,34,1,5
SIKHAR AMBOTE,828,16,2,4
SIMALCHOUR SYAMPATI,806,9,8,9
SIMTHALI,346,2,0,2
SIPALI CHILAUNE,559,12,0,3
SISAKHANI,343,0,0,1
THULO PARSEL,566,7,5,0
TUKUCHA NALA,998,21,2,8
UGRATARA JANAGAL,1118,502,1,13
TOTAL,73363,6457,283,548
