VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ANEKOT,154,1331,866,712,15,49,3,31,1182,7,84,13,10,8,8
BALDTHALI,66,588,345,466,5,28,3,35,402,1,7,3,0,1,6
BALTING,89,375,262,42,0,0,0,5,296,0,5,0,2,0,40
BALUWAPATI DEUPUR,184,1075,648,417,30,34,15,36,998,17,69,2,2,40,33
BANAKHU CHOR,198,506,415,50,0,1,0,16,274,0,0,0,0,0,5
BANEPA MUNICIPALITY,83,5351,2824,4617,3199,1683,596,1352,4798,308,1136,438,34,890,106
BEKHSIMLE GHARTIGAUN,32,224,212,32,1,2,1,1,74,0,1,1,0,1,0
BHIMKHORI,183,851,758,121,10,10,0,67,415,1,5,3,0,0,32
BHUMLUTAR,99,381,235,276,2,9,4,45,286,2,17,3,0,46,49
BIRTADEURALI,122,405,357,20,0,0,0,0,222,0,1,0,0,0,3
BOLDE FEDICHE,83,387,300,83,0,2,0,1,305,0,0,0,0,0,0
BUDHAKHANI,200,441,330,89,0,2,0,16,285,0,0,0,0,0,21
CHALAL GANESHSTHAN,128,733,427,518,38,10,0,8,656,4,29,2,0,10,3
CHANDENI MANDAN,121,656,428,285,28,8,0,5,570,0,16,2,0,0,5
CHOUBAS,112,354,317,14,1,0,0,5,194,0,1,0,0,0,21
CHYAMRANGBESI,36,268,183,100,13,6,1,44,214,0,5,2,0,2,0
CHYASING KHARKA,111,457,305,259,7,9,1,31,352,2,9,4,0,2,43
DANDAGAUN,121,331,285,23,0,0,0,3,164,0,0,0,0,0,32
DAPCHA CHATREBHANJH,99,520,345,371,8,12,2,37,441,6,27,5,0,6,13
DARAUNE POKHARI,54,572,526,369,2,14,0,43,414,3,15,1,0,2,19
DEWABHUMI BALUWA,198,1355,653,908,30,22,2,42,1134,3,40,17,4,6,25
DEVITAR,110,462,297,202,1,3,0,0,375,0,3,0,0,2,0
DHULIKHEL MUNICIPALITY,279,2933,1828,2247,1003,642,232,508,2490,88,390,99,9,310,67
DHUNKHARKA,50,970,744,659,19,28,4,129,894,4,37,7,2,1,15
DHUSENI SIWALAYA,173,193,157,22,0,1,1,1,149,0,1,0,0,1,0
DOLALGHAT,64,391,303,244,81,23,13,42,321,12,38,5,0,39,12
FALATE BHUMLU,37,263,201,103,1,1,0,1,189,0,1,1,0,1,3
FALEMETAR,212,433,319,115,4,0,0,35,268,0,0,0,0,0,23
