VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ANEKOT,647,662,172,12
BALDTHALI,229,315,112,4
BALTING,246,85,167,6
BALUWAPATI DEUPUR,506,421,353,12
BANAKHU CHOR,321,376,4,8
BANEPA MUNICIPALITY,81,5096,309,54
BEKHSIMLE GHARTIGAUN,154,62,40,0
BHIMKHORI,467,435,160,4
BHUMLUTAR,167,299,55,8
BIRTADEURALI,107,391,27,5
BOLDE FEDICHE,4,456,6,4
BUDHAKHANI,247,351,63,1
CHALAL GANESHSTHAN,340,327,196,1
CHANDENI MANDAN,264,337,179,2
CHOUBAS,170,98,218,1
CHYAMRANGBESI,8,276,20,0
CHYASING KHARKA,376,204,26,5
DANDAGAUN,299,178,4,3
DAPCHA CHATREBHANJH,327,169,135,1
DARAUNE POKHARI,175,180,287,3
DEWABHUMI BALUWA,370,1011,190,7
DEVITAR,398,128,46,0
DHULIKHEL MUNICIPALITY,135,2670,250,224
DHUNKHARKA,141,706,186,2
DHUSENI SIWALAYA,203,110,48,5
DOLALGHAT,170,163,121,13
FALATE BHUMLU,117,166,19,1
FALEMETAR,347,308,11,2
FOKSINGTAR,41,266,69,0
GAIRI BISOUNA DEUPUR,426,630,139,8
GHARTICHHAP,132,268,7,4
GOKULE,231,485,28,8
GOTHPANI,285,148,84,1
HOKSE BAZAR,279,618,68,5
JAISITHOK MANDAN,197,395,74,1
JYAMDI MANDAN,396,592,101,1
KALATI BHUMIDANDA,260,375,126,5
KANPUR KALAPANI,582,178,155,7
KATIKE DEURALI,228,340,107,0
KATUNJE BESI,47,358,91,1
KAVRE NITYA CHANDESWOR,221,678,135,8
KHAHARE PANGU,415,123,18,3
KHANALTHOK,245,493,338,6
KHARELTHOK,190,341,94,1
KHARPACHOK,214,92,29,0
KOLATI BHUMLU,56,258,1,1
KOSHIDEKHA,156,184,119,2
KURUWAS CHAPAKHORI,54,505,17,8
KUSHADEVI,121,1141,284,3
MACHCHHEGAUN,135,1107,18,3
MADAN KUNDARI,262,202,11,3
MAHADEVSTHAN MANDAN,480,1079,309,5
MAHADEVTAR,244,129,4,4
MAHANKAL CHAUR,461,157,167,2
MAHENDRA JYOTI,28,561,65,7
MAJHI FEDA,247,209,168,3
MANGALTAR,220,486,77,3
MATHURAPATI FULBARI,281,493,195,4
METHINKOT,336,491,216,12
MILCHE,201,235,11,0
NAGRE GAGARCHE,295,170,13,1
UGRACHANDI NALA,177,614,641,12
NASIKASTHAN SANGA,100,1109,95,1
NAYAGAUN DEUPUR,426,498,27,0
PANAUTI MUNICIPALITY,388,4604,898,53
PANCHKHAL,566,1947,241,12
PATALEKHET,213,358,233,2
POKHARI CHAURI,133,298,216,1
POKHARI NARAYANSTHAN,163,470,14,0
PURANOGAUN DAPCHA,1,435,7,0
RAVI OPI,305,433,179,6
RYALE,138,669,166,4
SALDHARA,341,114,3,3
SALLE BHUMLU,194,80,212,3
SALMECHAKALA (TALDHUNGA),87,218,7,0
SANKHUPATI CHOUR,141,349,232,0
SANOWANGTHALI,241,78,21,3
SAPING,323,245,211,7
SARADA BATASE,105,323,83,0
SARAMTHALI,10,229,0,0
SARASYUNKHARK,276,610,202,7
SATHIGHAR BHAGAWATI,100,391,157,2
SIKHAR AMBOTE,654,97,97,2
SIMALCHOUR SYAMPATI,484,199,145,4
SIMTHALI,198,33,118,1
SIPALI CHILAUNE,435,108,29,2
SISAKHANI,266,41,37,0
THULO PARSEL,6,566,6,0
TUKUCHA NALA,203,584,235,7
UGRATARA JANAGAL,52,1234,285,63
TOTAL,21708,46701,11539,703
