VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ASHRANG,234,17,2,15,9,0
BADIKHEL,753,31,2,0,0,5
BHARDEV,364,61,0,2,0,3
BHATTEDANDA,337,81,1,2,5,3
BISANKHUNARAYAN,1014,20,3,2,3,5
BUKHEL,279,38,0,4,12,1
BUNGAMATI,1279,17,1,1,3,3
CHANDANPUR,193,26,0,0,1,2
CHAPAGAUN,3561,34,13,0,2,100
CHHAMPI,1028,31,2,0,4,6
CHOUGHARE,311,56,0,0,11,2
DALCHOKI,219,48,1,0,0,1
DEVICHOUR,508,66,1,0,1,1
DHAPAKHEL,3105,30,13,2,4,24
DHUSEL,258,43,0,5,0,2
DUKUCHHAP,517,37,0,1,0,0
GIMDI,397,39,0,23,2,0
GODAMCHAUR,1058,23,2,1,1,9
GODAWARI,1764,28,11,2,7,13
GOTIKHEL,309,38,0,0,52,4
HARISIDDHI,2679,37,6,2,6,7
IKUDOL,220,158,0,8,0,1
IMADOL,6718,41,31,12,3,93
JHARUWARASI,907,19,2,0,2,6
KALESWOR,279,11,0,1,0,5
KHOKANA,1047,7,1,0,1,0
LALITPUR SUB-METROPOLITAN CITY,53721,158,195,21,31,455
LAMATAR,1701,24,4,3,0,27
LELE,1759,42,6,1,0,14
LUBHU,2317,35,3,0,1,9
MALTA,232,106,0,26,0,6
MANIKHEL,316,78,0,1,0,1
NALLU,372,78,1,4,1,4
PYUTAR,218,128,1,35,0,0
SAINBU,4848,90,16,0,2,47
SANKHU,426,32,1,0,0,3
SIDDHIPUR,1413,10,1,0,0,60
SUNAKOTHI,2363,15,2,2,1,14
THAIBA,1940,19,7,2,4,10
THECHO,2307,13,7,7,0,18
THULADURLUNG,211,32,0,44,3,1
TIKATHALI,2284,9,2,2,0,127
TOTAL,105766,1906,338,231,172,1092
